ABCA1,ABCA7,ADAM17,ADAMTS1,ANK3,ANKH,APH1B,APOE,APP,ATP8B1,BACE1,BAG2,BDNF,BHLHE40,BIN1,CASP7,CD33,CD59,CEBPB,CLU,COX7C,CREB3L4,CX3CR1,DDIT4,DLGAP2,DNAJA1,DNAJB4,DNAJB6,DOC2A,EED,EGR1,EPDR1,FBXL7,FERMT2,FOXF1,GRID2,GRIN2B,HBP1,HS3ST2,HS3ST5,HSP90AA1,HSP90AB1,HSPA1L,HSPA8,HSPH1,IDUA,IER5,IL1B,IL34,INPP5D,JAZF1,LRIG1,MAPK14,MAPT,MINDY2,NCK2,NEAT1,NYAP1,PER1,PICALM,PILRA,PLCG2,PLD3,PRKD3,PRNP,PSEN2,PTK2B,PVR,RAB10,REST,RORB,SERTAD1,SHARPIN,SIRPA,SLC44A1,SNX1,SOD1,SORL1,SORT1,SPDYE3,SPI1,SPP1,SREBF1,TMEM41A,TNFRSF1A,TNIP1,TOMM40,TPCN1,TREM2,TSPAN14,TSPOAP1,TYROBP,USP6NL,WDR12,WDR81,ZBTB11,ZBTB7A,ZC3H10,ZCWPW1,ZNF184
0.394087381,0.289397699,0.58740664,0.339223443,0.579698059,0.73995941,0.341877891,0.441169607,0.543466028,0.460914957,0.243420186,0.529623725,0.593839533,0.627426138,0.347201143,0.447924472,0.308610008,0.669222066,0.489345903,0.44575176,0.791212402,0.320003115,0.443100235,0.323430528,0.680427399,0.532041945,0.6452848,0.58980861,0.47207746,0.606926729,0.667437454,0.370070092,0.471824737,0.349188914,0.395427935,0.298220801,0.603251914,0.477714202,0.497537096,0.408437892,0.620430534,0.485446063,0.52684636,0.624419212,0.712476275,0.252911399,0.710209923,0.326906139,0.361164847,0.397526333,0.660546142,0.380660663,0.656077435,0.569476517,0.516214596,0.685260947,0.433131576,0.406517065,0.484310092,0.411446116,0.403011615,0.266280927,0.473068719,0.644103571,0.679916332,0.55338808,0.474885981,0.250463329,0.548576791,0.405103669,0.690143596,0.422167551,0.265015503,0.481997982,0.457245768,0.348888761,0.534193136,0.579028291,0.57343471,0.513471164,0.453254762,0.445574798,0.44886262,0.355058399,0.377583969,0.427545152,0.388097776,0.548113491,0.288345189,0.417776767,0.463456716,0.312812375,0.42144986,0.479351509,0.46151607,0.639925762,0.457401091,0.481448251,0.479466897,0.58055816
0.640603701,0.615583582,0.801938537,0.550073144,0.689921621,0.268671983,0.83041448,0.69506165,0.629928276,0.619214127,0.569928486,0.621428459,0.738704485,0.230661452,0.519582259,0.592283152,0.644246402,0.422717483,0.52700232,0.605755858,0.393741235,0.493868935,0.643042588,0.625049229,0.383852142,0.614568743,0.334500531,0.551161933,0.592719635,0.500781598,0.412949058,0.640722208,0.660401958,0.781007373,0.525999284,0.870255498,0.550079157,0.505513711,0.543079034,0.406702268,0.68078905,0.639036927,0.274348333,0.46997314,0.379254959,0.751315637,0.246712739,0.5977666,0.77116038,0.437850822,0.471945917,0.638868751,0.614691074,0.513511379,0.451046063,0.152392555,0.534318839,0.597807937,0.43365722,0.545444432,0.549849289,0.531598947,0.64495343,0.71305706,0.481701841,0.492913504,0.472720973,0.471568453,0.645240898,0.624807704,0.142947754,0.829904603,0.558672958,0.644152144,0.53673703,0.499570316,0.577922559,0.393136206,0.319757264,0.54986473,0.581114186,0.609638273,0.708998004,0.391623683,0.466872391,0.399091391,0.480007005,0.372286344,0.601022633,0.30683432,0.513252999,0.690639834,0.318813165,0.44160395,0.548426408,0.360567924,0.32473942,0.346836988,0.649124633,0.483647573
0.389131319,0.615964228,0.602147958,0.554283237,0.584182445,0.474831904,0.481296221,0.619936615,0.706501302,0.577242346,0.734341792,0.51703319,0.533741826,0.544392715,0.493048485,0.344204632,0.380809844,0.49098565,0.584229594,0.686841147,0.748453542,0.515004523,0.585371138,0.533604403,0.426586422,0.708474141,0.542047063,0.487574355,0.589398175,0.505119544,0.471852189,0.711801216,0.6137482,0.518454614,0.417145584,0.668811,0.60261854,0.396830669,0.693598638,0.736175939,0.699165422,0.449563223,0.599705806,0.624023773,0.706677505,0.596953346,0.428368354,0.268488738,0.392551456,0.522082505,0.540048749,0.570962442,0.45072036,0.527461677,0.542719732,0.617328567,0.436003926,0.503487582,0.598634388,0.621257116,0.456222176,0.615289897,0.67638893,0.486398008,0.427400058,0.50132096,0.664955888,0.63588182,0.479816525,0.555561192,0.41357174,0.625639175,0.577121165,0.53562262,0.474926651,0.651282429,0.715642218,0.8457542,0.546596539,0.588134506,0.516505375,0.621224579,0.452907359,0.478017394,0.293666051,0.752659982,0.747666215,0.526512873,0.588869935,0.506959091,0.40041446,0.6311615,0.724719558,0.726747278,0.723861936,0.457424746,0.72103807,0.593464903,0.604005122,0.534440643
0.383732689,0.688771652,0.478067277,0.332722874,0.307197402,0.815853869,0.409615303,0.293406543,0.691723713,0.579429797,0.119158529,0.620037928,0.501816425,0.898339318,0.185862313,0.331943003,0.15146579,0.530615969,0.572009082,0.348103029,0.534973732,0.444665785,0.140607262,0.322704861,0.639885797,0.344138339,0.80936051,0.448041464,0.302837993,0.71750826,0.844874958,0.608052032,0.372992175,0.26362857,0.432890435,0.221436653,0.545299756,0.559059223,0.245902646,0.465275874,0.418834468,0.47104679,0.633900995,0.689890556,0.502720779,0.517972019,0.768167167,0.215548504,0.402217452,0.437154323,0.421020375,0.437591664,0.510791338,0.439575907,0.507558089,0.755500429,0.543026479,0.37445619,0.744955379,0.571295329,0.619556007,0.324628501,0.415185952,0.605284984,0.350946872,0.481709538,0.626303721,0.875653366,0.604683194,0.325576408,0.918238361,0.40840275,0.422342717,0.306988385,0.377658356,0.437456681,0.288430446,0.673250735,0.64428226,0.331922412,0.338628424,0.370965042,0.167564699,0.626688237,0.291745237,0.622535703,0.521441108,0.506275948,0.189170648,0.646605918,0.235085858,0.094537362,0.748975106,0.512591476,0.419077306,0.51669075,0.838098891,0.672814405,0.338779427,0.737931879
0.917629455,0.327621215,0.446132371,0.386440105,0.748541359,0.087712796,0.73727794,0.897678048,0.488421815,0.134554282,0.564115114,0.510121665,0.472178343,0.128579341,0.635313603,0.565645864,0.857294463,0.536646602,0.143037975,0.613962224,0.42955325,0.468210161,0.849384695,0.749255698,0.341139191,0.612136627,0.450054676,0.420773545,0.511067646,0.500474836,0.095792222,0.526067941,0.484370035,0.781962603,0.518682306,0.74250989,0.622483706,0.586860337,0.265755882,0.22835907,0.785288753,0.642980506,0.334495633,0.583622494,0.430158413,0.431712577,0.057121512,0.818486129,0.711799119,0.648028359,0.343265879,0.753980397,0.354133881,0.520977673,0.656546153,0.182317923,0.482223296,0.576235213,0.225261057,0.482230904,0.410830252,0.793016861,0.523377803,0.543034834,0.503726857,0.506571955,0.508181388,0.350633134,0.389711962,0.831019234,0.092103586,0.651785632,0.406023903,0.523557314,0.426367302,0.673573547,0.507630004,0.206206817,0.519368743,0.531990344,0.413391521,0.570646989,0.791799675,0.466018653,0.638734176,0.369315355,0.308797694,0.623922804,0.648024145,0.34348424,0.666508001,0.799964762,0.622377634,0.355117387,0.2533775,0.270382182,0.287779653,0.329573069,0.477609805,0.374233141
0.663587741,0.492097963,0.558085265,0.436395214,0.591747264,0.370341673,0.489923265,0.683978559,0.4701658,0.447303382,0.366882455,0.498983444,0.660964212,0.338901447,0.529248061,0.53142264,0.479517261,0.488225729,0.491709295,0.573254647,0.456156936,0.434171045,0.576607376,0.572564782,0.54928221,0.600649817,0.508667648,0.611102108,0.635449718,0.556928889,0.356276592,0.54939444,0.465250095,0.557636675,0.424480404,0.647258735,0.605518084,0.440161262,0.502538624,0.259364529,0.520236532,0.56881309,0.416811871,0.566306414,0.622966758,0.511763427,0.43557788,0.644067859,0.583577224,0.476530058,0.510253879,0.544808066,0.596784583,0.530181969,0.348317377,0.347645777,0.353426581,0.475297453,0.440190887,0.460186582,0.487645722,0.491536844,0.602732429,0.526169375,0.637882406,0.529431171,0.511982377,0.458558427,0.565285253,0.43653195,0.485469399,0.525036783,0.523601559,0.670291499,0.420225834,0.411039094,0.464975336,0.403082278,0.472363293,0.50746325,0.478392774,0.41414626,0.508934738,0.551307701,0.65820376,0.45102559,0.491733673,0.431788078,0.482953724,0.537798686,0.672554679,0.553744442,0.486484502,0.434576219,0.418438857,0.508774467,0.439209318,0.471507392,0.42233752,0.56666836
0.51420354,0.346235252,0.358859489,0.408113251,0.470575663,0.651874463,0.432065454,0.541419348,0.586865326,0.395177185,0.321786116,0.524093362,0.399829713,0.614617643,0.460162269,0.560971046,0.426899222,0.647458509,0.425376318,0.573056465,0.649253648,0.473286204,0.64120014,0.57138983,0.571866815,0.472390203,0.624227798,0.459559889,0.464638703,0.62764361,0.505792595,0.472868563,0.456250404,0.50180266,0.401875825,0.294726861,0.495287606,0.59215007,0.459369794,0.486503497,0.385701395,0.446666881,0.583457382,0.573468724,0.446233718,0.420105822,0.60059819,0.459731108,0.378954748,0.623003236,0.558833458,0.531653915,0.581259443,0.622468751,0.478875447,0.633154392,0.60525743,0.497507146,0.466480032,0.490519003,0.446885341,0.49414625,0.462897249,0.632339588,0.519407706,0.508089605,0.467038536,0.490992498,0.528977381,0.551684043,0.684852698,0.309106279,0.439225352,0.451107594,0.42271819,0.461438963,0.419253526,0.614300002,0.505344759,0.522498131,0.410325669,0.401101467,0.494493172,0.443291976,0.512386004,0.475230765,0.44763044,0.626836663,0.521001256,0.589936635,0.529747763,0.504250957,0.516113498,0.491401866,0.4119153,0.637560052,0.549352386,0.440504411,0.54468083,0.551807084
0.54484306,0.366100206,0.42440603,0.503380092,0.648173741,0.310534569,0.542137152,0.677204083,0.558878894,0.541165309,0.495741151,0.458248073,0.607647298,0.360514122,0.530782559,0.4087554,0.450746765,0.444815824,0.457950097,0.572431369,0.505696475,0.468418044,0.547704428,0.579674385,0.476557379,0.549913068,0.482089891,0.563727314,0.644981551,0.554289196,0.443605132,0.476921091,0.570728769,0.540337395,0.330459926,0.605981374,0.638893978,0.512143904,0.584007775,0.413820222,0.505080863,0.586001141,0.452654325,0.512856807,0.577045398,0.524546456,0.410098206,0.557859641,0.568324401,0.505040229,0.555617849,0.528995058,0.537185015,0.645292947,0.471628478,0.436224456,0.487459283,0.504906009,0.479894367,0.523811587,0.429908046,0.537517596,0.578192506,0.492372114,0.649872972,0.541668732,0.459514035,0.440077352,0.561907971,0.519878461,0.517431048,0.579596671,0.474969278,0.623367622,0.553513444,0.499249613,0.471193577,0.447410477,0.56290402,0.489777211,0.472734206,0.541516479,0.538569497,0.461084248,0.560828533,0.413080377,0.493350585,0.497131063,0.447626665,0.512659558,0.655676204,0.527654576,0.480482167,0.451917113,0.490771084,0.431322638,0.456971904,0.541144523,0.442106422,0.53163715
0.618136242,0.693260225,0.662310772,0.583799804,0.450739918,0.729344206,0.511349839,0.495396845,0.371711773,0.344668119,0.24674634,0.597676592,0.559321959,0.796250349,0.260074238,0.663357159,0.486872909,0.333188143,0.801931249,0.476475221,0.683703485,0.384149719,0.337147002,0.559417583,0.571157211,0.336415587,0.540493531,0.797367279,0.363354338,0.738305399,0.843868796,0.356171022,0.41855493,0.160806849,0.815634286,0.394030183,0.341838698,0.400853668,0.493626565,0.399262828,0.753111315,0.377779802,0.843758867,0.287910969,0.531286055,0.500548697,0.653698722,0.515582593,0.436039925,0.647521933,0.494997487,0.311625611,0.637405759,0.634148831,0.470914598,0.899846159,0.49633474,0.735717343,0.715639163,0.200380598,0.581118193,0.38006174,0.37036997,0.416433316,0.473744671,0.297285421,0.674437369,0.471597739,0.43470559,0.340936253,0.557544132,0.600619175,0.446472279,0.593728971,0.408537888,0.200001469,0.64626144,0.726214517,0.635486951,0.429934743,0.319783703,0.34259207,0.424681394,0.510883164,0.516662734,0.647384074,0.738355455,0.486577569,0.264702341,0.42558996,0.413027347,0.395131841,0.405407303,0.72668778,0.571813114,0.555303998,0.626399949,0.395853157,0.674061954,0.458407661
0.544684927,0.546042042,0.366417337,0.465718839,0.321831024,0.654495118,0.58817504,0.385605382,0.513357376,0.529355648,0.401990056,0.445029905,0.409772695,0.630026716,0.369161529,0.404026562,0.493802666,0.485604808,0.478520772,0.38425783,0.483035017,0.510989317,0.44942431,0.503873976,0.554158796,0.397688257,0.507362095,0.515139757,0.349442838,0.826150163,0.573155879,0.513768489,0.506774949,0.4154977,0.385285173,0.249596228,0.430116494,0.583517975,0.477718218,0.555650641,0.340738039,0.342321111,0.483004575,0.579679651,0.367199665,0.398536489,0.527315596,0.421276306,0.380794905,0.555062797,0.356609819,0.438057078,0.399104687,0.601436701,0.519617308,0.534645467,0.628903487,0.449232096,0.589260038,0.45992858,0.678543565,0.521637568,0.428587172,0.592528039,0.37385316,0.439219907,0.529357006,0.490524811,0.39313515,0.565063359,0.737396807,0.414642144,0.391963896,0.368672015,0.516003552,0.519838775,0.421561967,0.640490924,0.599224218,0.479186754,0.437687154,0.503257839,0.403969055,0.515916641,0.504464724,0.580586642,0.518030671,0.580368325,0.389186191,0.622072723,0.389059349,0.450158514,0.587105794,0.53135391,0.483252964,0.627600267,0.662978122,0.54255091,0.461228288,0.494495709
