RID,Model,R squared,alpha,beta,gamma,s,p,b,k
21,Global,0.056542548720356405,0.13677423286411342,0.0,1.0003405368125728,0.5,0.0,0.0,20.00047095066405
21,Gene,0.08013581557891596,0.8859812930150592,1.014072625983403,0.6880674089265706,0.5,-0.8682430262812967,-1.0,20.0
31,Global,0.028897454360632905,0.07181194612659321,0.0,0.9716705707548173,0.5,0.0,0.0,20.00000586338107
31,Gene,3.230347799828126e-05,1.8325702007835376,0.0,1.1580898027392668,0.5,0.6124769618577502,-1.0,20.0
56,Global,0.03582893475320679,0.03199210355079628,0.0,1.0004042156156554,0.5,0.0,0.0,20.000023226752035
56,Gene,0.05575872171333254,0.1160194663747122,0.5826840967754011,0.45608499202432295,0.5,0.4124719530104026,-1.0,20.0
59,Global,0.030592820603463026,0.15961534638833286,0.0,0.9667666746943449,0.5,0.0,0.0,20.000491570104117
59,Gene,0.07919460797973314,0.0,0.11087308525723448,0.05660718188140039,0.5,1.698481476595027,-1.0,20.0
69,Global,0.02120074605379417,0.04,1.01,1.0078940798822347,0.5,0.0,0.0,20.0
69,Gene,0.021200746053794194,0.2,1.01,1.2959566817707475,0.5,0.0,0.0,20.0
96,Global,0.07558369579564875,0.34692791212289337,0.28401871723267497,1.1211220663650123,0.5,0.0,0.0,20.00094584550696
96,Gene,0.09093128726944501,0.791205547620367,0.4354751866750705,1.2252746691619691,0.5,-1.0,0.08424700587427583,20.0
112,Global,0.02870451462497123,0.14314668196344116,0.0,1.0123185006812851,0.5,0.0,0.0,20.000334447397027
112,Gene,0.04599815265103741,0.3297993956427938,0.7107205180532913,0.5716307044096399,0.5,-0.004481396965287838,-1.0,20.0
120,Global,0.050218062383259564,0.10791440871998229,0.0,1.1579260706894976,0.5,0.0,0.0,20.000208533610753
120,Gene,0.051008974449095135,0.3669422644014414,0.0,1.0462804623335402,0.5,-0.4393442075321161,-0.6413053933629085,20.0
127,Global,0.027538257951165025,0.030722929800876042,0.0,0.9390098868539997,0.5,0.0,0.0,20.00001917316306
127,Gene,0.08360095969878727,0.601034391116216,2.118948691580756,0.8692365874298149,0.5,-1.0,-1.0,20.0
142,Global,0.02481318403049557,0.060307116987671834,0.0,1.0058606731772823,0.5,0.0,0.0,19.999996051395993
142,Gene,0.08799774369741857,0.6948132115117833,1.994898164764702,0.6606672736220909,0.5,-1.0,-1.0,20.0
156,Global,0.026420679031007203,0.2011532444521541,0.0,1.0330387707668882,0.5,0.0,0.0,20.00027091682384
156,Gene,0.06527360417429437,1.1868245023993125,1.9985194794445669,0.14987456449479672,0.5,-1.0,-1.0,20.0
210,Global,0.04104672447149214,0.27893819125842273,0.0,1.0256596133663805,0.5,0.0,0.0,20.000489159489277
210,Gene,0.06212086279040863,0.0,0.0,0.3868512510903863,0.5,1.16226504084436,-1.0,20.0
303,Global,0.03604998382727037,0.35529934460866014,0.0,1.433939769697677,0.5,0.0,0.0,20.00018455321214
303,Gene,0.043861189165100053,0.5540628830309381,0.0,1.89022050140466,0.5,-1.0,-0.11428737046736485,20.0
337,Global,0.0010758497954542637,0.04,1.01,0.996165561654282,0.5,0.0,0.0,20.0
337,Gene,0.001075849795454261,0.2,1.01,0.5095024210244798,0.5,0.0,0.0,20.0
377,Global,0.029993661491099777,0.10973096892488182,0.0,1.0060717871472975,0.5,0.0,0.0,20.000129938913513
377,Gene,0.04657843262586424,0.39418782736976093,0.30968610593125784,0.3373245531459298,0.5,0.38902769415473815,-1.0,20.0
413,Global,0.051699311600096165,0.04,1.01,0.9905467895058877,0.5,0.0,0.0,20.0
413,Gene,0.05169931160009613,0.2,1.01,0.5038836378362361,0.5,0.0,0.0,20.0
416,Global,0.03513649768162907,0.17216676602824393,0.0,1.0189586286201031,0.5,0.0,0.0,20.00027890500542
416,Gene,0.10921842837622768,0.0,0.02617471090463054,0.24428710683117646,0.5,0.9436355709769535,-1.0,20.0
420,Global,0.004839950383668296,0.2373949095685595,0.9824036129997739,1.040956887537413,0.5,0.0,0.0,20.000050112645045
420,Gene,0.08061752655842962,0.7855618266038233,2.411869887898411,0.9720183877613074,0.5,-1.0,-1.0,20.0
467,Global,0.037539615730376744,0.10949022246947523,0.0,1.0143044568984978,0.5,0.0,0.0,20.000111804984382
467,Gene,0.05714775280963661,0.287778487194287,0.6204579267054574,0.5428652246876957,0.5,0.008630819002119143,-1.0,20.0
498,Global,0.1496420501400029,0.04,1.01,0.2614639240920361,0.5,0.0,0.0,20.0
498,Gene,0.14964205014000284,0.2,1.01,0.49363716754885173,0.5,0.0,0.0,20.0
618,Global,0.05190772474526721,0.13821212871721905,0.0,1.1502464261321261,0.5,0.0,0.0,20.000298678838654
618,Gene,0.054674686591899675,0.5110290208096931,0.0032680140913383016,1.2910864130173383,0.5,-1.0,-0.7629546702018435,20.0
626,Global,9.399845842751682e-05,0.16275451240270797,0.9906881191725098,1.0174758962158412,0.5,0.0,0.0,20.000003791195965
626,Gene,0.005282904972942732,0.29401532523957413,0.9441761416183637,0.5271821245868559,0.5,0.023476053388288474,-0.32694311912948615,20.0
668,Global,0.007266125065052486,0.4030644831757353,0.36683427302088395,1.3641572902430694,0.5,0.0,0.0,20.000012761412076
668,Gene,0.016210459270920387,0.34211060282924716,0.23977084002246465,1.3509370020617097,0.5,-0.8031008629849798,-1.0,20.0
677,Global,0.06915547051405722,0.0,0.0,3.531918966598476e-05,0.5,0.0,0.0,20.000055940506645
677,Gene,0.16003223130072322,2.1558354064626092e-06,5.332320464515028e-06,6.829060234823359e-08,0.5,4.999820376655265,-0.9999998616309655,20.0
679,Global,0.15982300180122092,0.04,1.01,0.9969284514102896,0.5,0.0,0.0,20.0
679,Gene,0.15982300180122092,0.2,1.01,0.8848465549520592,0.5,0.0,0.0,20.0
680,Global,0.03892699509036934,0.0553766755897112,0.0,1.0056567672701902,0.5,0.0,0.0,20.000043859841906
680,Gene,0.13108846117079573,0.0,0.0,0.026729407186177938,0.5,1.5227873083600603,-1.0,20.0
684,Global,0.026599482410692123,0.7488097496509969,0.8904636648886609,1.646460152017027,0.5,0.0,0.0,20.00001795325228
684,Gene,0.04170877036346628,1.0525607615859058,0.6147423791861214,2.1334240477996596,0.5,-1.0,5.0,20.0
731,Global,0.008415486735365234,0.7108357224860091,0.9497165447161138,1.5161567157565954,0.5,0.0,0.0,19.99995241508689
731,Gene,0.01865228101686559,1.6005082260713481,1.2109636674028008,1.1844279023989035,0.5,-1.0,5.0,20.0
734,Global,0.07917333037837884,0.04,1.01,0.9950129780631475,0.5,0.0,0.0,20.0
734,Gene,0.07917333037837884,0.2,1.01,0.5083498429972566,0.5,0.0,0.0,20.0
