RID,Model,R squared,alpha,beta,gamma,s,p,b,k
21,Global,0.056542548720356405,0.13677423286411342,0.0,1.0003405368125728,0.5,0.0,0.0,20.00047095066405
21,Gene,0.07416404748965523,0.8404893889201702,0.8871834184322174,0.8792194651182889,0.5,-1.0,-1.0,20.0
31,Global,0.028897454360632905,0.07181194612659321,0.0,0.9716705707548173,0.5,0.0,0.0,20.00000586338107
31,Gene,0.03097838774514979,0.1163442153311797,0.0,0.5243956792901546,0.5,0.17361819353277913,-1.0,20.0
56,Global,0.03582893475320679,0.03199210355079628,0.0,1.0004042156156554,0.5,0.0,0.0,20.000023226752035
56,Gene,0.03650882788464663,0.1674097390703391,0.0,0.4671304240022855,0.5,0.11483317969419243,-1.0,20.0
59,Global,0.030592820603463026,0.15961534638833286,0.0,0.9667666746943449,0.5,0.0,0.0,20.000491570104117
59,Gene,0.035639115673169325,0.1930611463418095,0.0,0.46917736371076213,0.5,0.2966498712919711,-1.0,20.0
69,Global,0.02120074605379417,0.04,1.01,1.0078940798822347,0.5,0.0,0.0,20.0
69,Gene,0.021200746053794194,0.2,1.01,1.2959566817707475,0.5,0.0,0.0,20.0
96,Global,0.07558369579564875,0.34692791212289337,0.28401871723267497,1.1211220663650123,0.5,0.0,0.0,20.00094584550696
96,Gene,0.08981826481905521,0.6849408079780215,1.0107167894148401,1.4196255220389116,0.5,-1.0,-1.0,20.0
112,Global,0.02870451462497123,0.14314668196344116,0.0,1.0123185006812851,0.5,0.0,0.0,20.000334447397027
112,Gene,0.032982702558877135,0.12518531841851438,0.0,0.6421268660105165,0.5,0.21916686380564243,-1.0,20.0
120,Global,0.050218062383259564,0.10791440871998229,0.0,1.1579260706894976,0.5,0.0,0.0,20.000208533610753
120,Gene,0.0551350122532416,0.1853787233012212,0.0,0.5918579350536844,0.5,1.1457061977113532,-1.0,20.0
127,Global,0.027538257951165025,0.030722929800876042,0.0,0.9390098868539997,0.5,0.0,0.0,20.00001917316306
127,Gene,0.016116420518295847,0.2861911211016805,0.15013894227284555,0.5488796895962651,0.5,-0.17231828190587273,-1.0,20.0
142,Global,0.02481318403049557,0.060307116987671834,0.0,1.0058606731772823,0.5,0.0,0.0,19.999996051395993
142,Gene,0.029420077733223755,0.09517272502946574,0.0,0.45706993722478023,0.5,0.20232126682749754,-1.0,20.0
156,Global,0.026420679031007203,0.2011532444521541,0.0,1.0330387707668882,0.5,0.0,0.0,20.00027091682384
156,Gene,0.028412481167638292,0.4203242026575321,0.0,0.23874693082373058,0.5,0.15208845245695754,-1.0,20.0
210,Global,0.04104672447149214,0.27893819125842273,0.0,1.0256596133663805,0.5,0.0,0.0,20.000489159489277
210,Gene,0.043746023512779335,0.3689818489661008,0.0,0.5377902628985988,0.5,0.26274852867888254,-1.0,20.0
303,Global,0.03604998382727037,0.35529934460866014,0.0,1.433939769697677,0.5,0.0,0.0,20.00018455321214
303,Gene,0.03757891822941405,0.40839041418824457,0.0,1.0197114937042615,0.5,0.5992891943361948,-0.6406131415714134,20.0
337,Global,0.0010758497954542637,0.04,1.01,0.996165561654282,0.5,0.0,0.0,20.0
337,Gene,0.001075849795454261,0.2,1.01,0.5095024210244798,0.5,0.0,0.0,20.0
377,Global,0.029993661491099777,0.10973096892488182,0.0,1.0060717871472975,0.5,0.0,0.0,20.000129938913513
377,Gene,0.03833570785085631,0.0,0.0,0.6652119590749096,0.5,0.5018561281247341,-1.0,20.0
413,Global,0.051699311600096165,0.04,1.01,0.9905467895058877,0.5,0.0,0.0,20.0
413,Gene,0.05169931160009613,0.2,1.01,0.5038836378362361,0.5,0.0,0.0,20.0
416,Global,0.03513649768162907,0.17216676602824393,0.0,1.0189586286201031,0.5,0.0,0.0,20.00027890500542
416,Gene,0.03637449146327064,0.23337407938570132,0.0,0.5623350151670593,0.5,0.11752755637025745,-1.0,20.0
420,Global,0.004839950383668296,0.2373949095685595,0.9824036129997739,1.040956887537413,0.5,0.0,0.0,20.000050112645045
420,Gene,0.011602235027886477,0.6597357567681174,0.5358494889210836,0.4960139413877709,0.5,-0.501675748275223,-1.0,20.0
467,Global,0.037539615730376744,0.10949022246947523,0.0,1.0143044568984978,0.5,0.0,0.0,20.000111804984382
467,Gene,0.04309604735975624,0.11331260266807766,0.0,0.5585400355040718,0.5,0.2329031689094887,-1.0,20.0
498,Global,0.1496420501400029,0.04,1.01,0.2614639240920361,0.5,0.0,0.0,20.0
498,Gene,0.14964205014000284,0.2,1.01,0.49363716754885173,0.5,0.0,0.0,20.0
618,Global,0.05190772474526721,0.13821212871721905,0.0,1.1502464261321261,0.5,0.0,0.0,20.000298678838654
618,Gene,0.07591373636438899,0.1792997158973759,0.0,0.38341100214639157,0.5,1.9926298384480792,-1.0,20.0
626,Global,9.399845842751682e-05,0.16275451240270797,0.9906881191725098,1.0174758962158412,0.5,0.0,0.0,20.000003791195965
626,Gene,0.008688691453304531,0.4076312786304718,0.4098538337583639,0.5678967517826495,0.5,-0.32131250283907614,-1.0,20.0
668,Global,0.007266125065052486,0.4030644831757353,0.36683427302088395,1.3641572902430694,0.5,0.0,0.0,20.000012761412076
668,Gene,0.05590282707234438,0.0,0.21376074724981575,0.1290093726417611,0.5,4.0851993861740885,-0.3345011390887063,20.0
677,Global,0.06915547051405722,0.0,0.0,3.531918966598476e-05,0.5,0.0,0.0,20.000055940506645
677,Gene,0.08244463540434459,6.205773122228734e-05,0.0003200490987750545,0.00015542214613467495,0.5,1.4753750162129142,-0.9982247890223919,20.0
679,Global,0.15982300180122092,0.04,1.01,0.9969284514102896,0.5,0.0,0.0,20.0
679,Gene,0.15982300180122092,0.2,1.01,0.8848465549520592,0.5,0.0,0.0,20.0
680,Global,0.03892699509036934,0.0553766755897112,0.0,1.0056567672701902,0.5,0.0,0.0,20.000043859841906
680,Gene,0.0416361974163195,0.12042039938598294,0.0,0.47332904761682126,0.5,0.1717341617104371,-1.0,20.0
684,Global,0.026599482410692123,0.7488097496509969,0.8904636648886609,1.646460152017027,0.5,0.0,0.0,20.00001795325228
684,Gene,0.04672111020075866,0.03225670453351657,1.158131401204326,0.2569394355071699,0.5,5.0,2.0493011154089036,20.0
731,Global,0.008415486735365234,0.7108357224860091,0.9497165447161138,1.5161567157565954,0.5,0.0,0.0,19.99995241508689
731,Gene,0.032538389282230545,0.3680360023198878,2.395531685396112,0.19495036250060324,0.5,4.846519951746931,0.6609303378661312,20.0
734,Global,0.07917333037837884,0.04,1.01,0.9950129780631475,0.5,0.0,0.0,20.0
734,Gene,0.07917333037837884,0.2,1.01,0.5083498429972566,0.5,0.0,0.0,20.0
751,Global,0.07458369494566951,0.1542766052015056,0.0,1.226024451382965,0.5,0.0,0.0,19.99950352241942
751,Gene,0.07851638840860288,0.4064953744404378,0.0,0.45889740139382734,0.5,0.4936286108210137,-1.0,20.0
767,Global,0.029402202981806333,0.12781551460763627,0.0,1.014489191341844,0.5,0.0,0.0,20.000240270587806
767,Gene,0.0331101957531217,0.1528609092023106,0.0,0.5482022745467193,0.5,0.20027311633958617,-1.0,20.0
800,Global,0.04018476667173224,0.013189699543211017,0.0,1.127112681490618,0.5,0.0,0.0,20.000496871193093
800,Gene,0.04527815490249409,0.0715996719247604,0.0,0.4694212414078691,0.5,0.2332676641824569,-1.0,20.0
896,Global,0.038730897766950975,0.05675061412740452,0.0,0.9480499532218654,0.5,0.0,0.0,20.00001499870872
896,Gene,0.04211388668274688,0.08613162152857687,0.0,0.4903257664306695,0.5,0.15762687987828483,-1.0,20.0
925,Global,4.960434293382402e-05,0.1893442215197578,1.0003720344956388,1.0184546821021296,0.5,0.0,0.0,20.000012753796877
925,Gene,0.010199907341789978,0.43346608547188786,0.4824296252982038,0.5635749509207292,0.5,-0.32281220212282674,-1.0,20.0
969,Global,0.023611224647471053,0.030333357165171677,0.0,0.9343476474425411,0.5,0.0,0.0,19.999977310356353
969,Gene,0.030402964323486915,0.06498134466193327,0.0,0.36816382443520995,0.5,0.2489826482299287,-1.0,20.0
1016,Global,0.10252042819745773,0.0,0.0,0.6063347073117643,0.5,0.0,0.0,20.00000135563069
1016,Gene,0.1386228385698161,0.0,0.0,0.22249909094055498,0.5,1.9918063878988468,-1.0,20.0
1052,Global,0.02600749775770774,0.10321442846562129,0.0,1.0135968402809739,0.5,0.0,0.0,19.999863311791255
1052,Gene,0.03232041952061539,0.11371652960414791,0.0,0.47649657235487736,0.5,0.22803708573426829,-1.0,20.0
1078,Global,0.03037102949429877,0.0845469980360467,0.0,1.0066949567224492,0.5,0.0,0.0,20.000066427011802
1078,Gene,0.01600406354716575,0.4740168267645396,0.482231097729277,0.5797509138870528,0.5,-0.5848282413386783,-1.0,20.0
1122,Global,0.035984876115657836,0.09622246157837015,0.0,0.9857084505481901,0.5,0.0,0.0,19.999916580466113
