RID,Model,R squared,alpha,beta,gamma,s,p,b,k
21,Global,0.056542548720356405,0.13677423286411342,0.0,1.0003405368125728,0.5,0.0,0.0,20.00047095066405
21,Gene,0.08154466030213704,0.8356138493557946,0.0,0.6960510785032595,0.5,-1.0,0.3485991472216058,20.0
31,Global,0.028897454360632905,0.07181194612659321,0.0,0.9716705707548173,0.5,0.0,0.0,20.00000586338107
31,Gene,0.05681589371488227,0.6360434595839909,0.0,0.6708028693454064,0.5,-0.9972543500603047,0.7414206389880753,20.0
56,Global,0.03582893475320679,0.03199210355079628,0.0,1.0004042156156554,0.5,0.0,0.0,20.000023226752035
56,Gene,0.05958459400736365,0.6581663635466161,0.0,0.5979997529079475,0.5,-1.0,0.20270749622502787,20.0
59,Global,0.030592820603463026,0.15961534638833286,0.0,0.9667666746943449,0.5,0.0,0.0,20.000491570104117
59,Gene,0.056589185669541194,0.881513086429847,0.0,0.38115028538533385,0.5,-1.0,0.5817664261969507,20.0
69,Global,0.02120074605379417,0.04,1.01,1.0078940798822347,0.5,0.0,0.0,20.0
69,Gene,0.021200746053794194,0.2,1.01,1.2959566817707475,0.5,0.0,0.0,20.0
96,Global,0.07558369579564875,0.34692791212289337,0.28401871723267497,1.1211220663650123,0.5,0.0,0.0,20.00094584550696
96,Gene,0.08504312878203474,0.0,0.055945089611913766,2.5236733036778847,0.5,-1.0,5.0,20.0
112,Global,0.02870451462497123,0.14314668196344116,0.0,1.0123185006812851,0.5,0.0,0.0,20.000334447397027
112,Gene,0.005102541201049341,0.5843106657750627,0.4227151888709951,0.6795578696149345,0.5,-0.6246087668223562,0.5160833243452849,20.0
120,Global,0.050218062383259564,0.10791440871998229,0.0,1.1579260706894976,0.5,0.0,0.0,20.000208533610753
120,Gene,0.060100478808638676,0.512392125252394,0.0,1.2638382020439307,0.5,-1.0,0.13884560119305456,20.0
127,Global,0.027538257951165025,0.030722929800876042,0.0,0.9390098868539997,0.5,0.0,0.0,20.00001917316306
127,Gene,0.0046947769808132565,0.6083516958248779,0.8800976304108863,0.6132435901442873,0.5,-0.9278487981498327,1.2776027308089708,20.0
142,Global,0.02481318403049557,0.060307116987671834,0.0,1.0058606731772823,0.5,0.0,0.0,19.999996051395993
142,Gene,0.004822826127685269,0.6341134684645873,0.7291890302313743,0.6139674055305279,0.5,-0.8975854137694772,0.9241650865831657,20.0
156,Global,0.026420679031007203,0.2011532444521541,0.0,1.0330387707668882,0.5,0.0,0.0,20.00027091682384
156,Gene,0.006319924430711865,0.887414049701845,0.6749768283537467,0.5480169440234284,0.5,-0.9593144851898006,0.9638597168160657,20.0
210,Global,0.04104672447149214,0.27893819125842273,0.0,1.0256596133663805,0.5,0.0,0.0,20.000489159489277
210,Gene,0.06109077214210717,0.9988396885365383,0.0,0.5205390654476261,0.5,-1.0,0.32507184210459206,20.0
303,Global,0.03604998382727037,0.35529934460866014,0.0,1.433939769697677,0.5,0.0,0.0,20.00018455321214
303,Gene,0.04167127075750475,0.7733580780751673,0.0,1.568724076464018,0.5,-1.0,-0.556775733876792,20.0
337,Global,0.0010758497954542637,0.04,1.01,0.996165561654282,0.5,0.0,0.0,20.0
337,Gene,0.001075849795454261,0.2,1.01,0.5095024210244798,0.5,0.0,0.0,20.0
377,Global,0.029993661491099777,0.10973096892488182,0.0,1.0060717871472975,0.5,0.0,0.0,20.000129938913513
377,Gene,0.050519968316670744,0.5277487843474704,0.0,1.3064683315786745,0.5,-1.0,0.24213432146555097,20.0
413,Global,0.051699311600096165,0.04,1.01,0.9905467895058877,0.5,0.0,0.0,20.0
413,Gene,0.05169931160009613,0.2,1.01,0.5038836378362361,0.5,0.0,0.0,20.0
416,Global,0.03513649768162907,0.17216676602824393,0.0,1.0189586286201031,0.5,0.0,0.0,20.00027890500542
416,Gene,0.06201286538110432,0.6643168285358131,0.0,0.6894194763139532,0.5,-0.8569530682317967,0.6898521553821917,20.0
420,Global,0.004839950383668296,0.2373949095685595,0.9824036129997739,1.040956887537413,0.5,0.0,0.0,20.000050112645045
420,Gene,0.013662115489440935,1.0644073277624446,2.910379104226997,0.3275894314909234,0.5,-1.0,2.997511051752973,20.0
467,Global,0.037539615730376744,0.10949022246947523,0.0,1.0143044568984978,0.5,0.0,0.0,20.000111804984382
467,Gene,0.061464388642875026,0.5587776277539889,0.0,0.8239615581598773,0.5,-0.8280959502967863,0.32815443265851174,20.0
498,Global,0.1496420501400029,0.04,1.01,0.2614639240920361,0.5,0.0,0.0,20.0
498,Gene,0.14964205014000284,0.2,1.01,0.49363716754885173,0.5,0.0,0.0,20.0
618,Global,0.05190772474526721,0.13821212871721905,0.0,1.1502464261321261,0.5,0.0,0.0,20.000298678838654
618,Gene,0.0565981420543647,0.6681705373963807,0.0,1.1228967351133432,0.5,-1.0,-0.2456783488364969,20.0
626,Global,9.399845842751682e-05,0.16275451240270797,0.9906881191725098,1.0174758962158412,0.5,0.0,0.0,20.000003791195965
626,Gene,0.0035370791499450146,0.6201077323291675,0.6171205344907673,0.6268708219583471,0.5,-0.7849372830045379,0.5988861044659128,20.0
668,Global,0.007266125065052486,0.4030644831757353,0.36683427302088395,1.3641572902430694,0.5,0.0,0.0,20.000012761412076
668,Gene,0.019297135919603775,0.6958655565012295,0.0,1.034119812962357,0.5,-1.0,-0.4482742854643659,20.0
677,Global,0.06915547051405722,0.0,0.0,3.531918966598476e-05,0.5,0.0,0.0,20.000055940506645
677,Gene,0.07510262687253823,0.0254631025231753,0.00015189494212413082,0.0001671550529837425,0.5,-0.47986472790081625,-0.1890931457656599,20.0
679,Global,0.15982300180122092,0.04,1.01,0.9969284514102896,0.5,0.0,0.0,20.0
679,Gene,0.15982300180122092,0.2,1.01,0.8848465549520592,0.5,0.0,0.0,20.0
680,Global,0.03892699509036934,0.0553766755897112,0.0,1.0056567672701902,0.5,0.0,0.0,20.000043859841906
680,Gene,0.05860251023526514,0.5317913017922895,0.0,0.6092328419631988,0.5,-0.7561770146234871,0.21463467060116806,20.0
684,Global,0.026599482410692123,0.7488097496509969,0.8904636648886609,1.646460152017027,0.5,0.0,0.0,20.00001795325228
684,Gene,0.03973967363226399,1.0511040094676802,0.5803917203595125,1.902082361262757,0.5,-0.7639883646076079,5.0,20.0
731,Global,0.008415486735365234,0.7108357224860091,0.9497165447161138,1.5161567157565954,0.5,0.0,0.0,19.99995241508689
731,Gene,0.022043073167417177,1.3728157163344072,1.1827734261708343,1.4618238157740624,0.5,-1.0,5.0,20.0
734,Global,0.07917333037837884,0.04,1.01,0.9950129780631475,0.5,0.0,0.0,20.0
734,Gene,0.07917333037837884,0.2,1.01,0.5083498429972566,0.5,0.0,0.0,20.0
751,Global,0.07458369494566951,0.1542766052015056,0.0,1.226024451382965,0.5,0.0,0.0,19.99950352241942
751,Gene,0.08898930071784947,0.9041847922886119,0.0,0.7676044774749111,0.5,-1.0,-0.21866424770564788,20.0
767,Global,0.029402202981806333,0.12781551460763627,0.0,1.014489191341844,0.5,0.0,0.0,20.000240270587806
767,Gene,0.05207317509709927,0.6426329992501704,0.0,0.8365647394985926,0.5,-0.9914010497076607,0.5585323196670269,20.0
800,Global,0.04018476667173224,0.013189699543211017,0.0,1.127112681490618,0.5,0.0,0.0,20.000496871193093
800,Gene,0.06338408518634467,0.5140890864493344,0.0,0.6206516302280337,0.5,-0.7460882251838882,0.2759678438855598,20.0
896,Global,0.038730897766950975,0.05675061412740452,0.0,0.9480499532218654,0.5,0.0,0.0,20.00001499870872
896,Gene,0.06304921347785886,0.5001801697384873,0.0,0.5929174561287971,0.5,-0.7336597614275598,0.5205821868225446,20.0
925,Global,4.960434293382402e-05,0.1893442215197578,1.0003720344956388,1.0184546821021296,0.5,0.0,0.0,20.000012753796877
925,Gene,3.4381068672702346e-05,0.24785777649058802,1.007060413074387,0.5121308570778521,0.5,0.015084391040603587,0.006528201153416176,20.0
969,Global,0.023611224647471053,0.030333357165171677,0.0,0.9343476474425411,0.5,0.0,0.0,19.999977310356353
969,Gene,0.007699653645650862,0.5890577795752853,2.7932491291992445,0.6725727685499922,0.5,-0.9937294092240786,4.006506652910127,20.0
1016,Global,0.10252042819745773,0.0,0.0,0.6063347073117643,0.5,0.0,0.0,20.00000135563069
1016,Gene,0.1028841444489392,0.20170409426316582,0.0,0.5069260333635593,0.5,-0.03799919796302158,-0.3773159452933493,20.0
1052,Global,0.02600749775770774,0.10321442846562129,0.0,1.0135968402809739,0.5,0.0,0.0,19.999863311791255
1052,Gene,0.004619451973423372,0.6765730934638345,0.8192978157287945,0.8193826405614276,0.5,-0.9961319265476166,1.1080833551737514,20.0
1078,Global,0.03037102949429877,0.0845469980360467,0.0,1.0066949567224492,0.5,0.0,0.0,20.000066427011802
1078,Gene,0.006519756696796649,0.6066189241926833,0.5728100331383078,0.6114028565734309,0.5,-0.9022720194248245,0.7081181217716734,20.0
1122,Global,0.035984876115657836,0.09622246157837015,0.0,0.9857084505481901,0.5,0.0,0.0,19.999916580466113
1122,Gene,0.06267589537642536,0.6154395344025132,0.0,0.6781690527500563,0.5,-0.9090913741999546,0.3587557179843236,20.0
1155,Global,0.0018409007538245233,0.04,1.01,4.196442997289433e-05,0.5,0.0,0.0,20.0
1155,Gene,0.0018409007538245216,0.2,1.01,4.684070835241864e-05,0.5,0.0,0.0,20.0
1169,Global,0.018242521486691546,0.056068439369375556,0.0,0.5500043331046072,0.5,0.0,0.0,20.000016052485886
1169,Gene,0.00854756975573425,0.6074586093421221,2.7419169594745236,0.39297881873639323,0.5,-0.9895614995215505,1.8364516573802379,20.0
1190,Global,0.03877502669309856,0.15378555627557916,0.0,0.9907190921967556,0.5,0.0,0.0,20.000437826019564
1190,Gene,0.06367772563247391,0.8372963487052552,0.0,0.4653617252663912,0.5,-1.0,0.17677156470249938,20.0
1261,Global,0.03257902540576882,0.12871132200883406,0.0,1.0185220040971248,0.5,0.0,0.0,20.000019484374462
1261,Gene,0.056079464526784875,0.5711679756106076,0.0,0.5749512298902048,0.5,-0.7118305125998866,0.5766975885741447,20.0
1280,Global,0.023007340389321587,0.15552518346241573,0.0,0.9277759687088628,0.5,0.0,0.0,20.000152770733102
1280,Gene,0.04406474994217811,0.6202935703521759,0.0,0.7864057719576035,0.5,-0.8923025088780144,0.8346789884389829,20.0
1378,Global,0.06518966219381932,0.21781250753227754,0.0,1.03594975946093,0.5,0.0,0.0,20.000189883586142
1378,Gene,0.08383278552756332,0.5703516198182972,0.0,0.5298981628481907,0.5,-0.4882560527154173,0.3716969702027263,20.0
1414,Global,0.07307739491580435,0.21794709732707124,0.0,1.03390615933222,0.5,0.0,0.0,20.000260624194677
1414,Gene,0.09194451810053651,0.6171926989900656,0.0,0.5895141314994558,0.5,-0.581788221179475,0.03243737370323637,20.0
1418,Global,0.048433727501728065,0.0301072511845748,0.0,1.0708026694791084,0.5,0.0,0.0,20.000258036419176
1418,Gene,0.055794593010059595,0.5791666008883585,0.0,1.0291648412291297,0.5,-1.0,0.36805553379589756,20.0
1427,Global,0.00042635047895731156,0.07551627360063021,0.9983627567855874,1.0039725669680475,0.5,0.0,0.0,20.000000255343995
1427,Gene,0.006518803347943782,0.6185159307630739,0.7483066168936104,0.5283434681429391,0.5,-0.9214532669023473,0.5876105947654738,20.0
2002,Global,0.03430591736166236,0.0,0.0,0.7083522501472582,0.5,0.0,0.0,19.999996352882057
2002,Gene,0.0417413485973122,0.31767765213009963,0.0,0.8461603259857218,0.5,-1.0,-0.2652873979020066,20.0
2018,Global,0.0248129682516721,0.0,0.0,0.6780049934828624,0.5,0.0,0.0,19.999999079817627
2018,Gene,0.03416600588828959,0.3527875824712107,0.0,0.7329210543499302,0.5,-1.0,0.9282841706524314,20.0
2068,Global,0.11309836012022967,0.29247954634611983,0.1668731007394033,1.1215691432585708,0.5,0.0,0.0,19.99974245035178
2068,Gene,0.13140730297124198,0.7897840537423053,0.1295865189107472,1.1632605184587215,0.5,-1.0,0.8501011194215174,20.0
2119,Global,0.03628444170066751,0.19620259770652507,0.0,1.0131187465498401,0.5,0.0,0.0,20.001093593729006
2119,Gene,0.020359805194642484,0.7921099867996984,0.5314892153633657,0.791900628034389,0.5,-0.9545916527784691,0.6611311786352636,20.0
2121,Global,0.07353891261766594,0.04,1.01,1.0045984327736417,0.5,0.0,0.0,20.0
2121,Gene,0.07353891261766594,0.2,1.01,1.1723960364844208,0.5,0.0,0.0,20.0
2123,Global,0.01716942082992196,0.04,1.01,0.9936205640927759,0.5,0.0,0.0,20.0
2123,Gene,0.017169420829921952,0.2,1.01,0.5069574123889986,0.5,0.0,0.0,20.0
2130,Global,0.011503009413252078,0.04,1.01,1.0082152507518651,0.5,0.0,0.0,20.0
2130,Gene,0.011503009413252071,0.2,1.01,1.3079920581250588,0.5,0.0,0.0,20.0
2133,Global,7.381304320160498e-05,0.1336983527844077,0.8218753539192846,1.0160093996077209,0.5,0.0,0.0,20.000023746843887
2133,Gene,0.007578727397058531,0.1720481942799735,5.0,1.1686838032516211,0.5,-0.16656077413252693,4.995010701185837,20.0
2155,Global,0.028245148736347345,0.12509558091967274,0.0,1.0073609693397159,0.5,0.0,0.0,20.000100160249584
2155,Gene,0.002591915234927813,0.500406645207989,0.40416433069295377,0.5850568586000175,0.5,-0.25287629583436294,0.2131619361187363,20.0
2180,Global,0.033818653673944626,0.09999646409994878,0.0,0.9935715427357706,0.5,0.0,0.0,20.00019108348299
2180,Gene,0.05185190210953289,0.6623546048417864,0.0,0.8237481289082071,0.5,-1.0,0.03937026227233149,20.0
2183,Global,0.02673934769403698,0.04,1.01,1.001000644018176,0.5,0.0,0.0,20.0
2183,Gene,0.026739347694036974,0.2,1.01,1.0375082010101837,0.5,0.0,0.0,20.0
2187,Global,0.04236393807425195,0.04,1.01,1.0057095550856696,0.5,0.0,0.0,20.0
2187,Gene,0.042363938074251956,0.2,1.01,1.214052196720959,0.5,0.0,0.0,20.0
2200,Global,0.06912221480145841,0.04,1.01,1.0022658042246917,0.5,0.0,0.0,20.0
2200,Gene,0.06912221480145841,0.2,1.01,1.0849487920787473,0.5,0.0,0.0,20.0
2219,Global,0.016076034619738805,0.04,1.01,3.0,0.5,0.0,0.0,20.0
2219,Gene,0.016076034619738805,0.2,1.01,3.0,0.5,0.0,0.0,20.0
2220,Global,0.02091891955913695,0.40266508083973956,0.5165325019183457,1.080454962758257,0.5,0.0,0.0,20.000148718994744
2220,Gene,0.029243705279067837,0.8125860763267179,0.6853395313062404,1.3794065374961746,0.5,-0.9157722941847904,0.5486588312902178,20.0
2233,Global,0.06549113319531123,0.0,0.0,0.7306485842788584,0.5,0.0,0.0,20.000001324892136
2233,Gene,0.08015266427681814,0.4696363878741848,0.0,0.8020175592735587,0.5,-1.0,-0.17995136632447367,20.0
2234,Global,0.03258912477779259,0.07047237041983753,0.0,0.4521863601127364,0.5,0.0,0.0,20.000001651691814
2234,Gene,0.005204062174555818,0.4579337580715999,1.431808163322321,0.6067967655317106,0.5,-1.0,2.90713318481121,20.0
2238,Global,0.006408530395830501,0.04,1.01,1.003707961737984,0.5,0.0,0.0,20.0
2238,Gene,0.006408530395830497,0.2,1.01,1.139012841717621,0.5,0.0,0.0,20.0
2239,Global,0.02962016650356615,0.031057259712268415,0.0,1.013099698011036,0.5,0.0,0.0,20.000021369698505
2239,Gene,0.04584254956791337,0.44079322733041454,0.0,1.1342128778573244,0.5,-1.0,0.19568430074460708,20.0
2245,Global,0.028842808813647043,0.0,0.0,0.6264441528118313,0.5,0.0,0.0,19.999992087920788
2245,Gene,0.04976595743995883,0.30484944350101584,0.0,1.2015078228055498,0.5,-1.0,0.32973529070749125,20.0
2247,Global,0.007469867133296234,0.04,1.01,0.0007277606545110157,0.5,0.0,0.0,20.0
2247,Gene,0.0074698671332962315,0.2,1.01,3.137768900648313e-05,0.5,0.0,0.0,20.0
2263,Global,0.0010920854683057165,0.04,1.01,1.422773918680387,0.5,0.0,0.0,20.0
2263,Gene,0.001092085468305716,0.2,1.01,1.42273674429927,0.5,0.0,0.0,20.0
2301,Global,0.07064238560285357,0.04,1.01,0.995549521098634,0.5,0.0,0.0,20.0
2301,Gene,0.07064238560285357,0.2,1.01,0.5088863804756713,0.5,0.0,0.0,20.0
2304,Global,0.1002233106133713,0.04,1.01,0.13927326967864984,0.5,0.0,0.0,20.0
2304,Gene,0.1002233106133713,0.2,1.01,0.49037790803629716,0.5,0.0,0.0,20.0
2332,Global,0.0301358604635751,0.08509722498730563,0.0,1.0132043987608423,0.5,0.0,0.0,20.000061111821744
2332,Gene,0.05359467117232814,0.6612939305414909,0.0,0.733300546000136,0.5,-1.0,0.5410383549179592,20.0
2333,Global,0.0246598794851388,0.061116975143042165,0.0,1.0072998875180639,0.5,0.0,0.0,20.000051402971607
2333,Gene,0.003955916454996958,0.6453152990546147,0.6489305861595819,0.6001669685105525,0.5,-0.9462037371765017,0.7539037862816982,20.0
2336,Global,0.04197800886052282,0.047267594718681076,0.0,1.002936611656901,0.5,0.0,0.0,20.00002504998233
2336,Gene,0.06620666414312686,0.5355084642569814,0.0,0.6243306731082654,0.5,-0.7731906249674464,0.31134068780264,20.0
2367,Global,0.002164419685262898,0.04,1.01,3.0,0.5,0.0,0.0,20.0
2367,Gene,0.002164419685262898,0.2,1.01,3.0,0.5,0.0,0.0,20.0
2373,Global,0.0392891359502633,0.13404842855220608,0.0,1.0112775453543101,0.5,0.0,0.0,20.00033452924937
2373,Gene,0.006048951483160108,0.55635669637321,0.45562921936153306,0.6079562952288723,0.5,-0.6459899942444391,0.5813554786146611,20.0
2374,Global,0.045643932778467615,0.16436041535708235,0.0,1.0146152356505225,0.5,0.0,0.0,20.000371304033326
2374,Gene,0.06700522185484359,0.5137791776657699,0.0,0.7861734082986761,0.5,-0.6266792551281684,0.6829219364404887,20.0
2379,Global,0.03589507598913004,0.04,1.01,0.9917904502434008,0.5,0.0,0.0,20.0
2379,Gene,0.035895075989130006,0.2,1.01,0.505127304111057,0.5,0.0,0.0,20.0
2380,Global,0.0003744277159152227,0.1374047682369367,0.8142348193754567,1.0166534442287614,0.5,0.0,0.0,20.000009339929456
2380,Gene,0.0027067465587075562,0.506545695131869,0.469822679013156,0.6239523229790993,0.5,-0.6547937690460158,0.503558440607502,20.0
2392,Global,0.025163534816853357,0.04,1.01,0.20983409986794455,0.5,0.0,0.0,20.0
2392,Gene,0.02516353481685334,0.2,1.01,0.4922602634095151,0.5,0.0,0.0,20.0
2394,Global,0.0013085117465387532,0.04,1.01,0.9952010387424317,0.5,0.0,0.0,20.0
2394,Gene,0.0013085117465387543,0.2,1.01,0.5085378925722227,0.5,0.0,0.0,20.0
2395,Global,0.02216836452522208,0.07420539569447722,0.0,1.0046939540207456,0.5,0.0,0.0,19.999965598098637
2395,Gene,0.002895779974676945,0.672287379230471,0.7793265013321435,0.6594289084648315,0.5,-0.9765046156038049,1.0747503572085062,20.0
2403,Global,0.0004926607733508322,0.17761549638705912,0.9943391263074803,1.016969876475685,0.5,0.0,0.0,20.000013692262264
2403,Gene,0.009977329880728086,0.7094551845547166,0.5918696130242667,0.701461689858659,0.5,-0.9776555966402541,0.7986297965363534,20.0
4003,Global,0.0333001208138677,0.038780419468814595,0.0,1.0143237701744106,0.5,0.0,0.0,19.999987569972816
4003,Gene,0.05794344674635122,0.6796252430701678,0.0,0.6901200375342582,0.5,-1.0,0.3024672824016281,20.0
4021,Global,0.04953999991210324,0.0,0.0,0.9555665259636238,0.5,0.0,0.0,20.000069590826236
4021,Gene,0.06565629689106896,0.4737926374718925,0.0,0.9653340552188439,0.5,-1.0,0.8088173500315667,20.0
4028,Global,0.02336753666382305,0.09804142067635692,0.0,1.0114398993977545,0.5,0.0,0.0,20.000110388227434
4028,Gene,0.005216172513964398,0.5426928742056004,1.8243193177565276,1.9349295567352873,0.5,-1.0,5.0,20.0
4036,Global,0.010263867485230475,0.04,1.01,0.9978018971757614,0.5,0.0,0.0,20.0
4036,Gene,0.010263867485230475,0.2,1.01,0.9175921341484896,0.5,0.0,0.0,20.0
4037,Global,0.00021917901911030493,0.04,1.01,0.9960799246007571,0.5,0.0,0.0,20.0
4037,Gene,0.00021917901911030477,0.2,1.01,0.509416800625251,0.5,0.0,0.0,20.0
4043,Global,2.4928847432542167e-06,0.04,1.01,0.9942897010648993,0.5,0.0,0.0,20.0
4043,Gene,2.492884743254348e-06,0.2,1.01,0.5076265549048082,0.5,0.0,0.0,20.0
4060,Global,0.009409474518904955,0.04,1.01,1.007264283663228,0.5,0.0,0.0,20.0
4060,Gene,0.009409474518904956,0.2,1.01,1.2723367249179376,0.5,0.0,0.0,20.0
4067,Global,0.010471927313342023,0.12437640976324733,0.0,1.234192116938709,0.5,0.0,0.0,19.999989340060658
4067,Gene,0.015005382797064181,0.7708360165667801,0.0,1.0860587888295992,0.5,-1.0,0.1491469543163249,20.0
4071,Global,0.04012530626206062,0.04,1.01,0.999504279865377,0.5,0.0,0.0,20.0
4071,Gene,0.04012530626206062,0.2,1.01,0.981415667523971,0.5,0.0,0.0,20.0
4076,Global,0.05339438537169038,0.10989663169104823,0.0,1.1337510250798106,0.5,0.0,0.0,19.999965413084094
4076,Gene,0.06888113964155039,0.6578884984453995,0.0,1.0292583826604755,0.5,-1.0,-0.2503398026829969,20.0
4084,Global,0.0005384331886076042,0.04,1.01,0.5404317196808788,0.5,0.0,0.0,20.0
4084,Gene,0.0005384331886076044,0.2,1.01,0.5010781375737962,0.5,0.0,0.0,20.0
4090,Global,0.07049615550036717,0.0,0.0,0.2972529239425781,0.5,0.0,0.0,19.999853624502727
4090,Gene,0.0874466244061642,0.10132762019391676,0.0,0.35812903793224415,0.5,-1.0,-0.03386179001208358,20.0
4094,Global,0.027089369936474646,0.045581004016821074,0.0,0.9708549514139024,0.5,0.0,0.0,19.999964906561846
