RID,Model,R squared,alpha,beta,gamma,s,p,b,k
21,Global,0.056542548720356405,0.13677423286411342,0.0,1.0003405368125728,0.5,0.0,0.0,20.00047095066405
21,Gene,0.06636983443131551,0.9195802579611434,0.0,0.5198987462088008,0.5,-1.0,-0.09158841662824911,20.0
31,Global,0.028897454360632905,0.07181194612659321,0.0,0.9716705707548173,0.5,0.0,0.0,20.00000586338107
31,Gene,0.037996350598093254,0.48911500000296837,0.0,0.5572851888589201,0.5,-0.6584474053568736,0.16733095209440957,20.0
56,Global,0.03582893475320679,0.03199210355079628,0.0,1.0004042156156554,0.5,0.0,0.0,20.000023226752035
56,Gene,0.04358463074306457,0.4713234750154723,0.0,0.6588437644013245,0.5,-0.7204531282609833,0.07909202470423661,20.0
59,Global,0.030592820603463026,0.15961534638833286,0.0,0.9667666746943449,0.5,0.0,0.0,20.000491570104117
59,Gene,0.03823057491327034,0.8015941348723103,0.0,0.2669662699891279,0.5,-0.6932962367986212,0.15408374439605074,20.0
69,Global,0.02120074605379417,0.04,1.01,1.0078940798822347,0.5,0.0,0.0,20.0
69,Gene,0.021200746053794194,0.2,1.01,1.2959566817707475,0.5,0.0,0.0,20.0
96,Global,0.07558369579564875,0.34692791212289337,0.28401871723267497,1.1211220663650123,0.5,0.0,0.0,20.00094584550696
96,Gene,0.08319160096957516,0.5656699881151729,0.14109062799178512,1.359814228602175,0.5,-1.0,0.4626625640367988,20.0
112,Global,0.02870451462497123,0.14314668196344116,0.0,1.0123185006812851,0.5,0.0,0.0,20.000334447397027
112,Gene,0.009372460852372963,0.8080401368063145,0.7050997563278096,0.5389364440735711,0.5,-1.0,0.32224500746750545,20.0
120,Global,0.050218062383259564,0.10791440871998229,0.0,1.1579260706894976,0.5,0.0,0.0,20.000208533610753
120,Gene,0.05792287810871673,0.5098869508588062,0.0,1.2237858936125294,0.5,-1.0,-0.24290855537018716,20.0
127,Global,0.027538257951165025,0.030722929800876042,0.0,0.9390098868539997,0.5,0.0,0.0,20.00001917316306
127,Gene,0.005374825614610375,0.5668970985637687,0.8794572292841293,0.613170172497375,0.5,-0.8889608943535817,0.19586668377462044,20.0
142,Global,0.02481318403049557,0.060307116987671834,0.0,1.0058606731772823,0.5,0.0,0.0,19.999996051395993
142,Gene,0.007687782639497575,0.6527975085968417,0.8783475059529559,0.6006802646160383,0.5,-1.0,-0.17382190284566185,20.0
156,Global,0.026420679031007203,0.2011532444521541,0.0,1.0330387707668882,0.5,0.0,0.0,20.00027091682384
