RID,Model,R squared,alpha,beta,gamma,s,p,b,k
21,Global,0.056542548720356405,0.13677423286411342,0.0,1.0003405368125728,0.5,0.0,0.0,20.00047095066405
21,Gene,0.059981832087644585,0.44063549523638773,0.27493569293349207,0.6670938637169169,0.5,-0.08874970909908027,-1.0,20.0
31,Global,0.028897454360632905,0.07181194612659321,0.0,0.9716705707548173,0.5,0.0,0.0,20.00000586338107
31,Gene,0.029666698490348458,0.12922482384225178,0.0,0.48818190565861025,0.5,0.14761061680035387,-1.0,20.0
56,Global,0.03582893475320679,0.03199210355079628,0.0,1.0004042156156554,0.5,0.0,0.0,20.000023226752035
56,Gene,0.038268689524227954,0.05977433504766003,0.0,0.4595831553086409,0.5,0.30146605861970566,-1.0,20.0
59,Global,0.030592820603463026,0.15961534638833286,0.0,0.9667666746943449,0.5,0.0,0.0,20.000491570104117
59,Gene,0.030888873911127452,0.3694199237576916,0.0,0.3351963784660106,0.5,0.10264573984870533,-1.0,20.0
69,Global,0.02120074605379417,0.04,1.01,1.0078940798822347,0.5,0.0,0.0,20.0
69,Gene,0.021200746053794194,0.2,1.01,1.2959566817707475,0.5,0.0,0.0,20.0
96,Global,0.07558369579564875,0.34692791212289337,0.28401871723267497,1.1211220663650123,0.5,0.0,0.0,20.00094584550696
96,Gene,0.08726895760579628,0.5751673816278328,0.4574833362509607,0.6048421573320957,0.5,0.6383119088952177,-1.0,20.0
112,Global,0.02870451462497123,0.14314668196344116,0.0,1.0123185006812851,0.5,0.0,0.0,20.000334447397027
112,Gene,0.013603270302889806,0.5359481991027224,0.2487759578474217,0.6945672541674835,0.5,-0.5314211268938788,-0.8995218135174429,20.0
120,Global,0.050218062383259564,0.10791440871998229,0.0,1.1579260706894976,0.5,0.0,0.0,20.000208533610753
120,Gene,0.051582548274312724,0.5294548384223795,0.30158654170353466,0.8032353335409474,0.5,0.03304932366134144,-1.0,20.0
127,Global,0.027538257951165025,0.030722929800876042,0.0,0.9390098868539997,0.5,0.0,0.0,20.00001917316306
127,Gene,0.028023443180310692,0.12130340594930868,0.0,0.4225392761852183,0.5,0.12413957156903249,-1.0,20.0
142,Global,0.02481318403049557,0.060307116987671834,0.0,1.0058606731772823,0.5,0.0,0.0,19.999996051395993
142,Gene,0.010341276834836384,0.4893958721851953,0.31506564387022956,0.580522666084334,0.5,-0.6228856737993762,-1.0,20.0
156,Global,0.026420679031007203,0.2011532444521541,0.0,1.0330387707668882,0.5,0.0,0.0,20.00027091682384
156,Gene,0.010359899677439461,0.7718431243453701,0.31043290736155127,0.4099595871808154,0.5,-0.6462469122688799,-1.0,20.0
210,Global,0.04104672447149214,0.27893819125842273,0.0,1.0256596133663805,0.5,0.0,0.0,20.000489159489277
210,Gene,0.04134082001636997,0.43425382358689757,0.0,0.5417949243872018,0.5,0.11117968097446707,-0.5929412698427124,20.0
303,Global,0.03604998382727037,0.35529934460866014,0.0,1.433939769697677,0.5,0.0,0.0,20.00018455321214
303,Gene,0.036004181016951006,0.3670944998511493,0.0,1.4836773533929462,0.5,-0.08398938150598104,-0.574492707892542,20.0
337,Global,0.0010758497954542637,0.04,1.01,0.996165561654282,0.5,0.0,0.0,20.0
337,Gene,0.001075849795454261,0.2,1.01,0.5095024210244798,0.5,0.0,0.0,20.0
377,Global,0.029993661491099777,0.10973096892488182,0.0,1.0060717871472975,0.5,0.0,0.0,20.000129938913513
377,Gene,0.030400961841308013,0.2755666529711085,0.0,0.4676977711891064,0.5,0.17307405092191247,-1.0,20.0
413,Global,0.051699311600096165,0.04,1.01,0.9905467895058877,0.5,0.0,0.0,20.0
413,Gene,0.05169931160009613,0.2,1.01,0.5038836378362361,0.5,0.0,0.0,20.0
416,Global,0.03513649768162907,0.17216676602824393,0.0,1.0189586286201031,0.5,0.0,0.0,20.00027890500542
416,Gene,0.0362914159985731,0.23791037764071138,0.0,0.505141946333354,0.5,0.13564267283109688,-1.0,20.0
420,Global,0.004839950383668296,0.2373949095685595,0.9824036129997739,1.040956887537413,0.5,0.0,0.0,20.000050112645045
420,Gene,0.023262001617025272,1.004136910021158,0.9172131340290248,0.3924271001292422,0.5,-1.0,-1.0,20.0
467,Global,0.037539615730376744,0.10949022246947523,0.0,1.0143044568984978,0.5,0.0,0.0,20.000111804984382
467,Gene,0.038112554409917544,0.17710964506512536,0.0,0.5221855099448414,0.5,0.11825375600284513,-1.0,20.0
498,Global,0.1496420501400029,0.04,1.01,0.2614639240920361,0.5,0.0,0.0,20.0
498,Gene,0.14964205014000284,0.2,1.01,0.49363716754885173,0.5,0.0,0.0,20.0
618,Global,0.05190772474526721,0.13821212871721905,0.0,1.1502464261321261,0.5,0.0,0.0,20.000298678838654
618,Gene,0.0514518696926935,0.5440421727945107,0.07876792210128059,0.8247879729561044,0.5,-0.04841122397933134,-1.0,20.0
626,Global,9.399845842751682e-05,0.16275451240270797,0.9906881191725098,1.0174758962158412,0.5,0.0,0.0,20.000003791195965
626,Gene,0.01529921801544518,0.7543983525105928,0.7983240456450061,0.597141211438801,0.5,-1.0,-1.0,20.0
668,Global,0.007266125065052486,0.4030644831757353,0.36683427302088395,1.3641572902430694,0.5,0.0,0.0,20.000012761412076
668,Gene,0.016484860096293023,0.3147269159369962,0.0,1.1074594105261146,0.5,-0.42971201370125633,-0.8248976851657812,20.0
677,Global,0.06915547051405722,0.0,0.0,3.531918966598476e-05,0.5,0.0,0.0,20.000055940506645
677,Gene,0.07927228331334613,0.0002404796880019056,0.0012550848588542564,0.0006094939279343724,0.5,1.8118167763189468,-0.998755840686978,20.0
679,Global,0.15982300180122092,0.04,1.01,0.9969284514102896,0.5,0.0,0.0,20.0
679,Gene,0.15982300180122092,0.2,1.01,0.8848465549520592,0.5,0.0,0.0,20.0
680,Global,0.03892699509036934,0.0553766755897112,0.0,1.0056567672701902,0.5,0.0,0.0,20.000043859841906
680,Gene,0.0407936232840606,0.09400186048306532,0.0,0.46637609884414616,0.5,0.21092191452824038,-1.0,20.0
684,Global,0.026599482410692123,0.7488097496509969,0.8904636648886609,1.646460152017027,0.5,0.0,0.0,20.00001795325228
684,Gene,0.04169500411848324,1.450672184429996,1.5368601358136629,1.3127308411430805,0.5,-1.0,-1.0,20.0
731,Global,0.008415486735365234,0.7108357224860091,0.9497165447161138,1.5161567157565954,0.5,0.0,0.0,19.99995241508689
731,Gene,0.0195510596464148,0.9512180392505742,1.6638072521651757,1.9121435836584582,0.5,-1.0,-1.0,20.0
734,Global,0.07917333037837884,0.04,1.01,0.9950129780631475,0.5,0.0,0.0,20.0
734,Gene,0.07917333037837884,0.2,1.01,0.5083498429972566,0.5,0.0,0.0,20.0
751,Global,0.07458369494566951,0.1542766052015056,0.0,1.226024451382965,0.5,0.0,0.0,19.99950352241942
751,Gene,0.08044200531285323,0.32350176028716326,0.0,0.4373743945402567,0.5,0.6339756519667719,-0.44479510035129344,20.0
767,Global,0.029402202981806333,0.12781551460763627,0.0,1.014489191341844,0.5,0.0,0.0,20.000240270587806
767,Gene,0.03022505826866737,0.16941156059230683,0.0,0.563559891683997,0.5,0.13831303975606388,-1.0,20.0
800,Global,0.04018476667173224,0.013189699543211017,0.0,1.127112681490618,0.5,0.0,0.0,20.000496871193093
800,Gene,0.0408097572114358,0.11509662609649562,0.0,0.48505443925841846,0.5,0.12668950148157482,-1.0,20.0
896,Global,0.038730897766950975,0.05675061412740452,0.0,0.9480499532218654,0.5,0.0,0.0,20.00001499870872
896,Gene,0.039824657455826896,0.12366827914125172,0.0,0.40865897015009717,0.5,0.12636386213253395,-1.0,20.0
925,Global,4.960434293382402e-05,0.1893442215197578,1.0003720344956388,1.0184546821021296,0.5,0.0,0.0,20.000012753796877
925,Gene,3.7024645471486776e-05,0.2636981407761251,1.005985906420146,0.5159194065633842,0.5,0.02741844485400926,-0.0060237772246012145,20.0
969,Global,0.023611224647471053,0.030333357165171677,0.0,0.9343476474425411,0.5,0.0,0.0,19.999977310356353
969,Gene,0.01247292493435526,0.607515780593377,0.9180435522290449,0.6376533779504452,0.5,-1.0,-1.0,20.0
1016,Global,0.10252042819745773,0.0,0.0,0.6063347073117643,0.5,0.0,0.0,20.00000135563069
1016,Gene,0.10312909037765144,0.11107818288478961,0.0,0.4318303849651166,0.5,0.40679498789683743,-0.5627513165803331,20.0
1052,Global,0.02600749775770774,0.10321442846562129,0.0,1.0135968402809739,0.5,0.0,0.0,19.999863311791255
