RID,Model,R squared,alpha,beta,gamma,s,p,b,k
21,Global,0.056542548720356405,0.13677423286411342,0.0,1.0003405368125728,0.5,0.0,0.0,20.00047095066405
21,Gene,0.11829226063882951,0.593922742506217,0.0,1.0206538078970782,0.5,-1.0,1.214273396104574,20.0
31,Global,0.028897454360632905,0.07181194612659321,0.0,0.9716705707548173,0.5,0.0,0.0,20.00000586338107
31,Gene,0.09628819124640678,0.5443239887744308,0.0,0.6166563300955664,0.5,-0.7990120168667778,2.698893830645373,20.0
56,Global,0.03582893475320679,0.03199210355079628,0.0,1.0004042156156554,0.5,0.0,0.0,20.000023226752035
56,Gene,0.10781223115352798,0.589139541891117,0.0,0.7189758922389995,0.5,-0.9925542437786695,3.142134592179076,20.0
59,Global,0.030592820603463026,0.15961534638833286,0.0,0.9667666746943449,0.5,0.0,0.0,20.000491570104117
59,Gene,0.09130521537430475,0.8779082693381249,0.0,0.2774759258517297,0.5,-0.9153335757587592,2.2978454649672364,20.0
69,Global,0.02120074605379417,0.04,1.01,1.0078940798822347,0.5,0.0,0.0,20.0
69,Gene,0.021200746053794194,0.2,1.01,1.2959566817707475,0.5,0.0,0.0,20.0
96,Global,0.07558369579564875,0.34692791212289337,0.28401871723267497,1.1211220663650123,0.5,0.0,0.0,20.00094584550696
96,Gene,0.12727517501829536,0.2753237466100892,0.21425719142739522,2.0827074524408835,0.5,-1.0,5.0,20.0
112,Global,0.02870451462497123,0.14314668196344116,0.0,1.0123185006812851,0.5,0.0,0.0,20.000334447397027
112,Gene,0.04870592622025567,0.06785759698224661,1.566999208086687,0.028612639806608865,0.5,1.915071431524112,5.0,20.0
120,Global,0.050218062383259564,0.10791440871998229,0.0,1.1579260706894976,0.5,0.0,0.0,20.000208533610753
120,Gene,0.061280431322846905,0.502625266829789,0.0,1.2155985368833098,0.5,-1.0,0.1123489218961119,20.0
127,Global,0.027538257951165025,0.030722929800876042,0.0,0.9390098868539997,0.5,0.0,0.0,20.00001917316306
127,Gene,0.04895896472626542,0.0,2.0724634113968117,0.2412659523072042,0.5,0.8180397254198528,3.3904799421437417,20.0
142,Global,0.02481318403049557,0.060307116987671834,0.0,1.0058606731772823,0.5,0.0,0.0,19.999996051395993
142,Gene,0.04909116765263115,0.0379663569464525,2.5835081124557657,0.3476832291465809,0.5,0.5936658396901725,4.36505475664832,20.0
156,Global,0.026420679031007203,0.2011532444521541,0.0,1.0330387707668882,0.5,0.0,0.0,20.00027091682384
156,Gene,0.058894013670487314,0.0,4.402996342833395,2.4364295104565086,0.5,0.30880819126334774,3.141375430687904,20.0
210,Global,0.04104672447149214,0.27893819125842273,0.0,1.0256596133663805,0.5,0.0,0.0,20.000489159489277
210,Gene,0.0705382065751576,6.369017873743633e-08,5.0,2.973092595780928,0.5,0.26045701895479656,5.0,20.0
303,Global,0.03604998382727037,0.35529934460866014,0.0,1.433939769697677,0.5,0.0,0.0,20.00018455321214
303,Gene,0.05123017488179277,0.6402374714086763,0.0,1.689219507518205,0.5,-1.0,0.20306516424264762,20.0
337,Global,0.0010758497954542637,0.04,1.01,0.996165561654282,0.5,0.0,0.0,20.0
337,Gene,0.001075849795454261,0.2,1.01,0.5095024210244798,0.5,0.0,0.0,20.0
377,Global,0.029993661491099777,0.10973096892488182,0.0,1.0060717871472975,0.5,0.0,0.0,20.000129938913513
