RID,Model,R squared,alpha,beta,gamma,s,p,b,k
21,Global,0.056542548720356405,0.13677423286411342,0.0,1.0003405368125728,0.5,0.0,0.0,20.00047095066405
21,Gene,0.1004240459425736,0.6518027263284397,0.0,0.8894970278011651,0.5,-1.0,0.907233410588589,20.0
31,Global,0.028897454360632905,0.07181194612659321,0.0,0.9716705707548173,0.5,0.0,0.0,20.00000586338107
31,Gene,0.03644248308266113,0.35348129544961693,0.0,0.5598784925176057,0.5,-0.3696488347339785,1.1016934916985786,20.0
56,Global,0.03582893475320679,0.03199210355079628,0.0,1.0004042156156554,0.5,0.0,0.0,20.000023226752035
56,Gene,0.048834675871975354,0.40267155073568356,0.0,0.5948831413374306,0.5,-0.5237366361595889,0.9618944041704641,20.0
59,Global,0.030592820603463026,0.15961534638833286,0.0,0.9667666746943449,0.5,0.0,0.0,20.000491570104117
59,Gene,0.03904955350399634,0.6945256615243757,0.0,0.25024430289245453,0.5,-0.43273233668017275,1.0379611629434096,20.0
69,Global,0.02120074605379417,0.04,1.01,1.0078940798822347,0.5,0.0,0.0,20.0
69,Gene,0.021200746053794194,0.2,1.01,1.2959566817707475,0.5,0.0,0.0,20.0
96,Global,0.07558369579564875,0.34692791212289337,0.28401871723267497,1.1211220663650123,0.5,0.0,0.0,20.00094584550696
96,Gene,0.15128942614878196,1.390133161809444,0.3169267598514247,0.7148590715022762,0.5,-1.0,5.0,20.0
112,Global,0.02870451462497123,0.14314668196344116,0.0,1.0123185006812851,0.5,0.0,0.0,20.000334447397027
112,Gene,0.0008715393437163911,0.26963273306306307,0.9831963314372778,0.5293233284407385,0.5,0.039806272181653946,0.03431263704627469,20.0
120,Global,0.050218062383259564,0.10791440871998229,0.0,1.1579260706894976,0.5,0.0,0.0,20.000208533610753
120,Gene,0.05693686819096772,0.47217808531802336,0.0,1.2379408490785377,0.5,-1.0,0.5303731403851549,20.0
127,Global,0.027538257951165025,0.030722929800876042,0.0,0.9390098868539997,0.5,0.0,0.0,20.00001917316306
127,Gene,0.010579828433023446,0.0,0.4224283954753995,0.09771429388264645,0.5,1.0348016792810626,2.4778504032082638,20.0
142,Global,0.02481318403049557,0.060307116987671834,0.0,1.0058606731772823,0.5,0.0,0.0,19.999996051395993
142,Gene,0.013716159532326347,0.0,0.37595190929581307,0.04514030484942646,0.5,1.262922242637801,4.650497160247853,20.0
156,Global,0.026420679031007203,0.2011532444521541,0.0,1.0330387707668882,0.5,0.0,0.0,20.00027091682384
156,Gene,0.026066763467822388,0.022651557969016845,0.6007386741737955,0.004813077106493491,0.5,2.672060723752933,5.0,20.0
210,Global,0.04104672447149214,0.27893819125842273,0.0,1.0256596133663805,0.5,0.0,0.0,20.000489159489277
210,Gene,0.029499719250992408,0.22838500050042154,0.7679528878927141,0.0035677248517950043,0.5,4.126062190217357,5.0,20.0
303,Global,0.03604998382727037,0.35529934460866014,0.0,1.433939769697677,0.5,0.0,0.0,20.00018455321214
303,Gene,0.04087938628886766,0.657687934446528,0.0,1.5738130922869877,0.5,-0.7265877060154655,0.26525778293255486,20.0
337,Global,0.0010758497954542637,0.04,1.01,0.996165561654282,0.5,0.0,0.0,20.0
337,Gene,0.001075849795454261,0.2,1.01,0.5095024210244798,0.5,0.0,0.0,20.0
377,Global,0.029993661491099777,0.10973096892488182,0.0,1.0060717871472975,0.5,0.0,0.0,20.000129938913513
