RID,Model,R squared,alpha,beta,gamma,s,p,b,k
21,Global,0.056542548720356405,0.13677423286411342,0.0,1.0003405368125728,0.5,0.0,0.0,20.00047095066405
21,Gene,0.08716905207605083,0.2785479948632602,0.1813828199734359,0.18596671177761862,0.5,1.544880089061029,-1.0,20.0
31,Global,0.028897454360632905,0.07181194612659321,0.0,0.9716705707548173,0.5,0.0,0.0,20.00000586338107
31,Gene,0.045782783597069616,0.0003843708230337219,0.0,0.29930160780289145,0.5,0.6243530538841551,-1.0,20.0
56,Global,0.03582893475320679,0.03199210355079628,0.0,1.0004042156156554,0.5,0.0,0.0,20.000023226752035
56,Gene,0.05384475653285383,0.0,0.0,0.23009925397600675,0.5,0.810654649017777,-1.0,20.0
59,Global,0.030592820603463026,0.15961534638833286,0.0,0.9667666746943449,0.5,0.0,0.0,20.000491570104117
59,Gene,0.04541447565172159,0.06768853174448476,0.0,0.38970154610045765,0.5,0.7070094975416691,-1.0,20.0
69,Global,0.02120074605379417,0.04,1.01,1.0078940798822347,0.5,0.0,0.0,20.0
69,Gene,0.021200746053794194,0.2,1.01,1.2959566817707475,0.5,0.0,0.0,20.0
96,Global,0.07558369579564875,0.34692791212289337,0.28401871723267497,1.1211220663650123,0.5,0.0,0.0,20.00094584550696
96,Gene,0.096910957025359,0.0,0.9561244300248867,0.7849214563433854,0.5,1.5350953025291905,-1.0,20.0
112,Global,0.02870451462497123,0.14314668196344116,0.0,1.0123185006812851,0.5,0.0,0.0,20.000334447397027
112,Gene,0.03944812020606719,0.056877850975777404,0.0,0.4244627878724529,0.5,0.5208449669122543,-1.0,20.0
120,Global,0.050218062383259564,0.10791440871998229,0.0,1.1579260706894976,0.5,0.0,0.0,20.000208533610753
120,Gene,0.056873442475606016,0.0,0.0,0.39466228676428183,0.5,2.2916765300633424,-1.0,20.0
127,Global,0.027538257951165025,0.030722929800876042,0.0,0.9390098868539997,0.5,0.0,0.0,20.00001917316306
127,Gene,0.03529052251440579,0.03362004375186694,0.0,0.28475095082555096,0.5,0.48753404076003354,-0.922708078838935,20.0
142,Global,0.02481318403049557,0.060307116987671834,0.0,1.0058606731772823,0.5,0.0,0.0,19.999996051395993
142,Gene,0.029671090894607233,0.09184477978952893,0.0,0.7822450004296391,0.5,0.16511558732340992,-1.0,20.0
156,Global,0.026420679031007203,0.2011532444521541,0.0,1.0330387707668882,0.5,0.0,0.0,20.00027091682384
156,Gene,0.007543957323772208,0.30857386717974683,0.736707519924874,0.2613470586605282,0.5,0.4813169133395181,-0.6753033140801847,20.0
210,Global,0.04104672447149214,0.27893819125842273,0.0,1.0256596133663805,0.5,0.0,0.0,20.000489159489277
210,Gene,0.060229872949677396,0.13192486285576926,0.0,0.395560769719625,0.5,0.9154898123369161,-1.0,20.0
303,Global,0.03604998382727037,0.35529934460866014,0.0,1.433939769697677,0.5,0.0,0.0,20.00018455321214
303,Gene,0.05105720108567186,0.0007245577914401305,0.0,0.4113091657839928,0.5,2.9915279340966445,-0.8104464775079243,20.0
337,Global,0.0010758497954542637,0.04,1.01,0.996165561654282,0.5,0.0,0.0,20.0
337,Gene,0.001075849795454261,0.2,1.01,0.5095024210244798,0.5,0.0,0.0,20.0
377,Global,0.029993661491099777,0.10973096892488182,0.0,1.0060717871472975,0.5,0.0,0.0,20.000129938913513
377,Gene,0.0027761850588045515,0.23980693554658516,0.9767301129523148,0.5266569986965871,0.5,0.028762703330187378,-0.029252900102250123,20.0
413,Global,0.051699311600096165,0.04,1.01,0.9905467895058877,0.5,0.0,0.0,20.0
413,Gene,0.05169931160009613,0.2,1.01,0.5038836378362361,0.5,0.0,0.0,20.0
416,Global,0.03513649768162907,0.17216676602824393,0.0,1.0189586286201031,0.5,0.0,0.0,20.00027890500542
416,Gene,0.04159482106114897,0.15073822144346719,0.0,0.43801774226253065,0.5,0.381180264558676,-0.9114485010290007,20.0
420,Global,0.004839950383668296,0.2373949095685595,0.9824036129997739,1.040956887537413,0.5,0.0,0.0,20.000050112645045
420,Gene,0.006918971963531365,0.31115805122343365,0.8640444629550112,0.436506017349325,0.5,0.3028152043141022,-0.4499549489114981,20.0
467,Global,0.037539615730376744,0.10949022246947523,0.0,1.0143044568984978,0.5,0.0,0.0,20.000111804984382
467,Gene,0.04855624010300456,0.06788538932618726,0.0,0.4300390532465987,0.5,0.44821733588941487,-1.0,20.0
498,Global,0.1496420501400029,0.04,1.01,0.2614639240920361,0.5,0.0,0.0,20.0
498,Gene,0.14964205014000284,0.2,1.01,0.49363716754885173,0.5,0.0,0.0,20.0
618,Global,0.05190772474526721,0.13821212871721905,0.0,1.1502464261321261,0.5,0.0,0.0,20.000298678838654
618,Gene,0.05190184131056439,0.316134642923364,0.0,0.9412236048970242,0.5,0.08688408211866423,-0.5404738882419607,20.0
626,Global,9.399845842751682e-05,0.16275451240270797,0.9906881191725098,1.0174758962158412,0.5,0.0,0.0,20.000003791195965
