RID,Model,R squared,alpha,beta,gamma,s,p,b,k
21,Global,0.056542548720356405,0.13677423286411342,0.0,1.0003405368125728,0.5,0.0,0.0,20.00047095066405
21,Gene,0.13150415856125272,1.0005987792795568,0.09521882051208727,0.60671119996095,0.5,-1.0,5.0,20.0
31,Global,0.028897454360632905,0.07181194612659321,0.0,0.9716705707548173,0.5,0.0,0.0,20.00000586338107
31,Gene,0.22423177532590394,0.6806384866863995,0.0,0.7383587494017644,0.5,-1.0,3.9263680571750266,20.0
56,Global,0.03582893475320679,0.03199210355079628,0.0,1.0004042156156554,0.5,0.0,0.0,20.000023226752035
56,Gene,0.18723198453791046,0.6691680917315419,0.0,0.7324668861133679,0.5,-1.0,3.002437246733615,20.0
59,Global,0.030592820603463026,0.15961534638833286,0.0,0.9667666746943449,0.5,0.0,0.0,20.000491570104117
59,Gene,0.1654768165942864,1.0168882359303588,0.0,0.2502395229735744,0.5,-1.0,4.585271465488749,20.0
69,Global,0.02120074605379417,0.04,1.01,1.0078940798822347,0.5,0.0,0.0,20.0
69,Gene,0.021200746053794194,0.2,1.01,1.2959566817707475,0.5,0.0,0.0,20.0
96,Global,0.07558369579564875,0.34692791212289337,0.28401871723267497,1.1211220663650123,0.5,0.0,0.0,20.00094584550696
96,Gene,0.11842304758040983,0.3587237544606814,0.24698352530626289,2.0936242566715966,0.5,-1.0,5.0,20.0
112,Global,0.02870451462497123,0.14314668196344116,0.0,1.0123185006812851,0.5,0.0,0.0,20.000334447397027
112,Gene,0.07453925298987504,0.7579985789662724,0.24559630433616364,0.5782565244348329,0.5,-0.8446834242932602,4.497733429958568,20.0
120,Global,0.050218062383259564,0.10791440871998229,0.0,1.1579260706894976,0.5,0.0,0.0,20.000208533610753
120,Gene,0.06491757984545042,0.5100670759118895,0.0,1.2703210769091549,0.5,-1.0,0.9552644315774063,20.0
127,Global,0.027538257951165025,0.030722929800876042,0.0,0.9390098868539997,0.5,0.0,0.0,20.00001917316306
127,Gene,0.22204743670681232,0.6589118662740867,0.0,0.7231521569146898,0.5,-1.0,5.0,20.0
142,Global,0.02481318403049557,0.060307116987671834,0.0,1.0058606731772823,0.5,0.0,0.0,19.999996051395993
142,Gene,0.2689172773709118,0.6826931571255632,0.0,0.6775062942528932,0.5,-1.0,5.0,20.0
156,Global,0.026420679031007203,0.2011532444521541,0.0,1.0330387707668882,0.5,0.0,0.0,20.00027091682384
156,Gene,0.07836064412299233,0.08757436392913995,0.4401518481937183,0.2828444562380653,0.5,0.9388168537188527,5.0,20.0
210,Global,0.04104672447149214,0.27893819125842273,0.0,1.0256596133663805,0.5,0.0,0.0,20.000489159489277
210,Gene,0.04591482993558267,0.0,0.4832231221683599,0.5853960578020484,0.5,1.2457831828677897,5.0,20.0
303,Global,0.03604998382727037,0.35529934460866014,0.0,1.433939769697677,0.5,0.0,0.0,20.00018455321214
303,Gene,0.04178818074586131,0.6505237343808474,0.0,1.7215016020025335,0.5,-1.0,-0.02207632410371936,20.0
337,Global,0.0010758497954542637,0.04,1.01,0.996165561654282,0.5,0.0,0.0,20.0
337,Gene,0.001075849795454261,0.2,1.01,0.5095024210244798,0.5,0.0,0.0,20.0
377,Global,0.029993661491099777,0.10973096892488182,0.0,1.0060717871472975,0.5,0.0,0.0,20.000129938913513
377,Gene,0.08892273344303785,0.945113115493115,0.36207847963560535,0.551013509414971,0.5,-1.0,5.0,20.0
413,Global,0.051699311600096165,0.04,1.01,0.9905467895058877,0.5,0.0,0.0,20.0
413,Gene,0.05169931160009613,0.2,1.01,0.5038836378362361,0.5,0.0,0.0,20.0
416,Global,0.03513649768162907,0.17216676602824393,0.0,1.0189586286201031,0.5,0.0,0.0,20.00027890500542
416,Gene,0.224752051650237,0.7459203041221681,0.0,0.7316982044183646,0.5,-1.0,2.9906617049512665,20.0
420,Global,0.004839950383668296,0.2373949095685595,0.9824036129997739,1.040956887537413,0.5,0.0,0.0,20.000050112645045
420,Gene,0.11242669869053684,1.2744240698065474,1.802283022857625,0.1331368866512131,0.5,-0.9257483338212407,4.78147823069941,20.0
467,Global,0.037539615730376744,0.10949022246947523,0.0,1.0143044568984978,0.5,0.0,0.0,20.000111804984382
467,Gene,0.23655397108062085,0.7091120333436305,0.0,0.7230403512337424,0.5,-1.0,3.171709519489859,20.0
498,Global,0.1496420501400029,0.04,1.01,0.2614639240920361,0.5,0.0,0.0,20.0
498,Gene,0.14964205014000284,0.2,1.01,0.49363716754885173,0.5,0.0,0.0,20.0
618,Global,0.05190772474526721,0.13821212871721905,0.0,1.1502464261321261,0.5,0.0,0.0,20.000298678838654
618,Gene,0.06278081364926083,0.16432052584287488,0.0,1.8460191320761414,0.5,-1.0,0.35330307337903205,20.0
626,Global,9.399845842751682e-05,0.16275451240270797,0.9906881191725098,1.0174758962158412,0.5,0.0,0.0,20.000003791195965
626,Gene,0.30684300006615084,0.6840085085671033,0.0,0.7261497967469174,0.5,-1.0,5.0,20.0
668,Global,0.007266125065052486,0.4030644831757353,0.36683427302088395,1.3641572902430694,0.5,0.0,0.0,20.000012761412076
668,Gene,0.021810162168631592,0.6108909696887045,0.0,1.100504459222478,0.5,-1.0,0.6293338512682688,20.0
677,Global,0.06915547051405722,0.0,0.0,3.531918966598476e-05,0.5,0.0,0.0,20.000055940506645
677,Gene,0.09918799672058091,0.00394808558931116,3.688528319416552e-05,1.791222002112789e-05,0.5,-0.9979331477742467,2.0647327968563207,20.0
679,Global,0.15982300180122092,0.04,1.01,0.9969284514102896,0.5,0.0,0.0,20.0
