RID,Model,R squared,alpha,beta,gamma,s,p,b,k
21,Global,0.056542548720356405,0.13677423286411342,0.0,1.0003405368125728,0.5,0.0,0.0,20.00047095066405
21,Gene,0.05866881076555898,0.6535139721329412,0.2543282927241139,0.3924068328419151,0.5,0.013602935114974037,-1.0,20.0
31,Global,0.028897454360632905,0.07181194612659321,0.0,0.9716705707548173,0.5,0.0,0.0,20.00000586338107
31,Gene,0.04155672932493935,0.002543367883251401,0.0,0.3162722330527562,0.5,0.591910966008859,-1.0,20.0
56,Global,0.03582893475320679,0.03199210355079628,0.0,1.0004042156156554,0.5,0.0,0.0,20.000023226752035
56,Gene,0.0504711054209999,0.0,0.0,0.31569852868863757,0.5,0.657236033445967,-1.0,20.0
59,Global,0.030592820603463026,0.15961534638833286,0.0,0.9667666746943449,0.5,0.0,0.0,20.000491570104117
59,Gene,0.03887816176781595,0.01403484611102882,0.0,0.5654378315612604,0.5,0.5721117909400177,-1.0,20.0
69,Global,0.02120074605379417,0.04,1.01,1.0078940798822347,0.5,0.0,0.0,20.0
69,Gene,0.021200746053794194,0.2,1.01,1.2959566817707475,0.5,0.0,0.0,20.0
96,Global,0.07558369579564875,0.34692791212289337,0.28401871723267497,1.1211220663650123,0.5,0.0,0.0,20.00094584550696
96,Gene,0.08208183378848678,0.7327833268148848,0.5947764836611211,1.2802517544221292,0.5,-1.0,-0.7480157367887734,20.0
112,Global,0.02870451462497123,0.14314668196344116,0.0,1.0123185006812851,0.5,0.0,0.0,20.000334447397027
112,Gene,0.041483695124731344,0.06187834802575309,0.0,0.3969475786703465,0.5,0.5498273915599842,-1.0,20.0
120,Global,0.050218062383259564,0.10791440871998229,0.0,1.1579260706894976,0.5,0.0,0.0,20.000208533610753
120,Gene,0.06972318034373783,0.0,0.0,0.3154741447356521,0.5,2.8432655549908423,-1.0,20.0
127,Global,0.027538257951165025,0.030722929800876042,0.0,0.9390098868539997,0.5,0.0,0.0,20.00001917316306
127,Gene,0.04171682812303903,0.0,0.0,0.2520335866931261,0.5,0.6069898908897209,-1.0,20.0
142,Global,0.02481318403049557,0.060307116987671834,0.0,1.0058606731772823,0.5,0.0,0.0,19.999996051395993
142,Gene,0.0035180228750862196,0.03154175733985775,0.7911572304203441,0.4418561599479314,0.5,0.3738020696801118,-0.4819162903805122,20.0
156,Global,0.026420679031007203,0.2011532444521541,0.0,1.0330387707668882,0.5,0.0,0.0,20.00027091682384
156,Gene,0.004946672664130837,0.24628970547049783,0.8585173848117166,0.40130274252177645,0.5,0.44009179773149554,-0.4654986792832803,20.0
210,Global,0.04104672447149214,0.27893819125842273,0.0,1.0256596133663805,0.5,0.0,0.0,20.000489159489277
210,Gene,0.06892679766719378,0.13378474883168204,0.0,0.3477288347658706,0.5,1.0257781129815884,-1.0,20.0
303,Global,0.03604998382727037,0.35529934460866014,0.0,1.433939769697677,0.5,0.0,0.0,20.00018455321214
303,Gene,0.0918035155113291,0.1215359622503305,0.0,0.24555547192061586,0.5,3.8860129350116503,-1.0,20.0
337,Global,0.0010758497954542637,0.04,1.01,0.996165561654282,0.5,0.0,0.0,20.0
337,Gene,0.001075849795454261,0.2,1.01,0.5095024210244798,0.5,0.0,0.0,20.0
377,Global,0.029993661491099777,0.10973096892488182,0.0,1.0060717871472975,0.5,0.0,0.0,20.000129938913513
377,Gene,0.002971116663167425,0.23980693554658516,0.9767301129523148,0.5266569986965871,0.5,0.03168066919911894,-0.04168071443544363,20.0
413,Global,0.051699311600096165,0.04,1.01,0.9905467895058877,0.5,0.0,0.0,20.0
413,Gene,0.05169931160009613,0.2,1.01,0.5038836378362361,0.5,0.0,0.0,20.0
416,Global,0.03513649768162907,0.17216676602824393,0.0,1.0189586286201031,0.5,0.0,0.0,20.00027890500542
416,Gene,0.050500387573443294,0.10121140501989853,0.0,0.37919698950889597,0.5,0.5476309130985373,-0.7466160473741614,20.0
420,Global,0.004839950383668296,0.2373949095685595,0.9824036129997739,1.040956887537413,0.5,0.0,0.0,20.000050112645045
420,Gene,0.009224142542403474,0.5491254260306749,0.8859297143065641,0.8327251061838334,0.5,-0.5309024910672271,-0.9580105423439448,20.0
467,Global,0.037539615730376744,0.10949022246947523,0.0,1.0143044568984978,0.5,0.0,0.0,20.000111804984382
467,Gene,0.052726477787043535,0.0031044283512467455,0.0,0.39212218618194083,0.5,0.5978729769951079,-1.0,20.0
