RID,Model,R squared,alpha,beta,gamma,s,p,b,k
21,Global,0.056542548720356405,0.13677423286411342,0.0,1.0003405368125728,0.5,0.0,0.0,20.00047095066405
21,Gene,0.10852846672215669,0.0,0.04772232015234117,0.2775491076474063,0.5,1.383239953733248,-1.0,20.0
31,Global,0.028897454360632905,0.07181194612659321,0.0,0.9716705707548173,0.5,0.0,0.0,20.00000586338107
31,Gene,0.039783034855019515,0.02362983919737105,0.0,0.4609844025992652,0.5,0.37080400072570174,-1.0,20.0
56,Global,0.03582893475320679,0.03199210355079628,0.0,1.0004042156156554,0.5,0.0,0.0,20.000023226752035
56,Gene,0.048218599735368746,0.006736409741052359,0.0,0.4179151840122022,0.5,0.4645237309859371,-1.0,20.0
59,Global,0.030592820603463026,0.15961534638833286,0.0,0.9667666746943449,0.5,0.0,0.0,20.000491570104117
59,Gene,0.04366030285548537,0.10820891624675225,0.0,0.4425492655117634,0.5,0.45078645121641164,-1.0,20.0
69,Global,0.02120074605379417,0.04,1.01,1.0078940798822347,0.5,0.0,0.0,20.0
69,Gene,0.021200746053794194,0.2,1.01,1.2959566817707475,0.5,0.0,0.0,20.0
96,Global,0.07558369579564875,0.34692791212289337,0.28401871723267497,1.1211220663650123,0.5,0.0,0.0,20.00094584550696
96,Gene,0.13914238822160357,0.26430907760625877,1.0147793908088742,0.6955014135179697,0.5,1.0471415578741603,-1.0,20.0
112,Global,0.02870451462497123,0.14314668196344116,0.0,1.0123185006812851,0.5,0.0,0.0,20.000334447397027
112,Gene,0.03635239509812198,0.1254211977860298,0.0,0.4701930533329229,0.5,0.312661283205987,-1.0,20.0
120,Global,0.050218062383259564,0.10791440871998229,0.0,1.1579260706894976,0.5,0.0,0.0,20.000208533610753
120,Gene,0.06066228516047185,0.09899716375452626,0.0,0.5135158610732747,0.5,1.4545191073995636,-1.0,20.0
127,Global,0.027538257951165025,0.030722929800876042,0.0,0.9390098868539997,0.5,0.0,0.0,20.00001917316306
127,Gene,0.03337875858574731,0.027559210844626335,0.0,0.471797889573895,0.5,0.27541358220819556,-1.0,20.0
142,Global,0.02481318403049557,0.060307116987671834,0.0,1.0058606731772823,0.5,0.0,0.0,19.999996051395993
142,Gene,0.030315271293758255,0.11223756401064719,0.0,0.36625153063214716,0.5,0.2301139776029931,-1.0,20.0
156,Global,0.026420679031007203,0.2011532444521541,0.0,1.0330387707668882,0.5,0.0,0.0,20.00027091682384
156,Gene,0.0027871514716631437,0.32960608826684146,0.8721807392043808,0.4171143182042545,0.5,0.24098310985340027,-0.3947614943946742,20.0
210,Global,0.04104672447149214,0.27893819125842273,0.0,1.0256596133663805,0.5,0.0,0.0,20.000489159489277
210,Gene,0.06412941451674585,0.19120026118813713,0.0,0.49469295031085436,0.5,0.6069512171723738,-1.0,20.0
303,Global,0.03604998382727037,0.35529934460866014,0.0,1.433939769697677,0.5,0.0,0.0,20.00018455321214
303,Gene,0.06285599901793794,0.0,0.0,0.6802966975140077,0.5,1.9498022812606164,-1.0,20.0
337,Global,0.0010758497954542637,0.04,1.01,0.996165561654282,0.5,0.0,0.0,20.0
337,Gene,0.001075849795454261,0.2,1.01,0.5095024210244798,0.5,0.0,0.0,20.0
377,Global,0.029993661491099777,0.10973096892488182,0.0,1.0060717871472975,0.5,0.0,0.0,20.000129938913513
377,Gene,0.03964355338432091,0.0752193714041054,0.0,0.46981670606712056,0.5,0.5449736312535868,-1.0,20.0
413,Global,0.051699311600096165,0.04,1.01,0.9905467895058877,0.5,0.0,0.0,20.0
413,Gene,0.05169931160009613,0.2,1.01,0.5038836378362361,0.5,0.0,0.0,20.0
416,Global,0.03513649768162907,0.17216676602824393,0.0,1.0189586286201031,0.5,0.0,0.0,20.00027890500542
416,Gene,0.03954033131270197,0.21892229905692312,0.0,0.4895344453444386,0.5,0.18908949639145897,-1.0,20.0
420,Global,0.004839950383668296,0.2373949095685595,0.9824036129997739,1.040956887537413,0.5,0.0,0.0,20.000050112645045
420,Gene,0.013408296045545288,0.5119206096177527,0.37232977091771974,0.6221455985246239,0.5,-0.3465400388800026,-1.0,20.0
467,Global,0.037539615730376744,0.10949022246947523,0.0,1.0143044568984978,0.5,0.0,0.0,20.000111804984382
467,Gene,0.04672646384783119,0.10497653964323793,0.0,0.4789978201649072,0.5,0.29358019450264367,-1.0,20.0
498,Global,0.1496420501400029,0.04,1.01,0.2614639240920361,0.5,0.0,0.0,20.0
498,Gene,0.14964205014000284,0.2,1.01,0.49363716754885173,0.5,0.0,0.0,20.0
618,Global,0.05190772474526721,0.13821212871721905,0.0,1.1502464261321261,0.5,0.0,0.0,20.000298678838654
618,Gene,0.06481903330262741,0.08662064685630884,0.0,0.5498971544636491,0.5,1.4088040592907523,-1.0,20.0
626,Global,9.399845842751682e-05,0.16275451240270797,0.9906881191725098,1.0174758962158412,0.5,0.0,0.0,20.000003791195965
626,Gene,0.028956068529695404,0.12109580518229891,0.0,0.46405431617000154,0.5,0.20831820362984987,-1.0,20.0
668,Global,0.007266125065052486,0.4030644831757353,0.36683427302088395,1.3641572902430694,0.5,0.0,0.0,20.000012761412076
668,Gene,0.02556388241331927,0.0,0.0,0.45326429014776637,0.5,1.8066761197256636,-1.0,20.0
677,Global,0.06915547051405722,0.0,0.0,3.531918966598476e-05,0.5,0.0,0.0,20.000055940506645
677,Gene,0.07498793100062176,0.0009619174367986893,0.005020332571224745,0.0024379723783505202,0.5,1.0132942572410648,-0.9950204267173901,20.0
679,Global,0.15982300180122092,0.04,1.01,0.9969284514102896,0.5,0.0,0.0,20.0
679,Gene,0.15982300180122092,0.2,1.01,0.8848465549520592,0.5,0.0,0.0,20.0
680,Global,0.03892699509036934,0.0553766755897112,0.0,1.0056567672701902,0.5,0.0,0.0,20.000043859841906
680,Gene,0.05104063427040722,0.03690796438218509,0.0,0.43974093862979696,0.5,0.3556874013380573,-1.0,20.0
684,Global,0.026599482410692123,0.7488097496509969,0.8904636648886609,1.646460152017027,0.5,0.0,0.0,20.00001795325228
684,Gene,0.04465132091748022,0.19653612983121715,1.6414767525185396,0.2303771509522929,0.5,4.89539961501997,1.0138995997753273,20.0
731,Global,0.008415486735365234,0.7108357224860091,0.9497165447161138,1.5161567157565954,0.5,0.0,0.0,19.99995241508689
731,Gene,0.03762461231679115,0.9008333701268134,0.6707926587779999,0.10351166313916046,0.5,5.0,5.0,20.0
734,Global,0.07917333037837884,0.04,1.01,0.9950129780631475,0.5,0.0,0.0,20.0
734,Gene,0.07917333037837884,0.2,1.01,0.5083498429972566,0.5,0.0,0.0,20.0
751,Global,0.07458369494566951,0.1542766052015056,0.0,1.226024451382965,0.5,0.0,0.0,19.99950352241942
751,Gene,0.10908719606463996,0.026568812158320472,0.0,0.48690677863036774,0.5,1.0694017761187853,-1.0,20.0
767,Global,0.029402202981806333,0.12781551460763627,0.0,1.014489191341844,0.5,0.0,0.0,20.000240270587806
767,Gene,0.03503010200286971,0.14348403551869804,0.0,0.48999970393883735,0.5,0.24410121321943207,-0.749035291492658,20.0
800,Global,0.04018476667173224,0.013189699543211017,0.0,1.127112681490618,0.5,0.0,0.0,20.000496871193093
800,Gene,0.04944348516969597,0.033377530088892604,0.0,0.460005931063153,0.5,0.3148201534921927,-1.0,20.0
896,Global,0.038730897766950975,0.05675061412740452,0.0,0.9480499532218654,0.5,0.0,0.0,20.00001499870872
896,Gene,0.046701985072015006,0.11071167702054083,0.0,0.3037592037936743,0.5,0.2568268419145536,-0.9374669032625964,20.0
925,Global,4.960434293382402e-05,0.1893442215197578,1.0003720344956388,1.0184546821021296,0.5,0.0,0.0,20.000012753796877
925,Gene,0.00360155777218005,0.15722701853958865,0.9131734063210257,0.48918757981109184,0.5,0.22631523519344826,-0.4698368283354042,20.0
969,Global,0.023611224647471053,0.030333357165171677,0.0,0.9343476474425411,0.5,0.0,0.0,19.999977310356353
969,Gene,0.03211656004652928,0.0009006724750000297,0.0,0.4504955430348979,0.5,0.29643189272971454,-1.0,20.0
1016,Global,0.10252042819745773,0.0,0.0,0.6063347073117643,0.5,0.0,0.0,20.00000135563069
1016,Gene,0.14141528438262607,0.0,0.0,0.22124436981729179,0.5,1.9043416663563766,-1.0,20.0
1052,Global,0.02600749775770774,0.10321442846562129,0.0,1.0135968402809739,0.5,0.0,0.0,19.999863311791255
1052,Gene,0.03790881522927492,0.08067018164881427,0.0,0.4080938621381844,0.5,0.3219711221088293,-1.0,20.0
1078,Global,0.03037102949429877,0.0845469980360467,0.0,1.0066949567224492,0.5,0.0,0.0,20.000066427011802
1078,Gene,0.039475214441009585,0.07274531277196064,0.0,0.4565628854237619,0.5,0.21368421867298612,-1.0,20.0
1122,Global,0.035984876115657836,0.09622246157837015,0.0,0.9857084505481901,0.5,0.0,0.0,19.999916580466113
1122,Gene,0.048426219058458536,0.06091359723454713,0.0,0.45913722363719156,0.5,0.35712167336320016,-1.0,20.0
1155,Global,0.0018409007538245233,0.04,1.01,4.196442997289433e-05,0.5,0.0,0.0,20.0
1155,Gene,0.0018409007538245216,0.2,1.01,4.684070835241864e-05,0.5,0.0,0.0,20.0
1169,Global,0.018242521486691546,0.056068439369375556,0.0,0.5500043331046072,0.5,0.0,0.0,20.000016052485886
1169,Gene,0.010798083705554021,0.36477607439558896,0.4393327057500696,0.5540846039337074,0.5,-0.5704483954319669,-1.0,20.0
1190,Global,0.03877502669309856,0.15378555627557916,0.0,0.9907190921967556,0.5,0.0,0.0,20.000437826019564
1190,Gene,0.05763941673326627,0.12379394021108642,0.0,0.4003550942297668,0.5,0.48299335288051587,-1.0,20.0
1261,Global,0.03257902540576882,0.12871132200883406,0.0,1.0185220040971248,0.5,0.0,0.0,20.000019484374462
1261,Gene,0.04568974515583518,0.08866395780821013,0.0,0.49339180421551576,0.5,0.302702320225189,-1.0,20.0
1280,Global,0.023007340389321587,0.15552518346241573,0.0,0.9277759687088628,0.5,0.0,0.0,20.000152770733102
1280,Gene,0.030501084756258703,0.08471084263633537,0.0,0.5892440728879412,0.5,0.30154403242345623,-1.0,20.0
1378,Global,0.06518966219381932,0.21781250753227754,0.0,1.03594975946093,0.5,0.0,0.0,20.000189883586142
1378,Gene,0.07153127748384672,0.3057244175130042,0.011272877831419274,0.44221342581111717,0.5,0.11092695089402019,-1.0,20.0
1414,Global,0.07307739491580435,0.21794709732707124,0.0,1.03390615933222,0.5,0.0,0.0,20.000260624194677
1414,Gene,0.079780796297829,0.3115320631154414,0.0,0.4058063717322266,0.5,0.1800045498600914,-1.0,20.0
1418,Global,0.048433727501728065,0.0301072511845748,0.0,1.0708026694791084,0.5,0.0,0.0,20.000258036419176
1418,Gene,0.07596003250674209,0.2068301576259458,0.7249748330025351,0.49940258985794306,0.5,1.3205285852273823,-1.0,20.0
1427,Global,0.00042635047895731156,0.07551627360063021,0.9983627567855874,1.0039725669680475,0.5,0.0,0.0,20.000000255343995
1427,Gene,0.006676392396453134,0.4509972298470797,0.4244013702720254,0.320984437766507,0.5,-0.5380943666408552,-0.7539033547258461,20.0
2002,Global,0.03430591736166236,0.0,0.0,0.7083522501472582,0.5,0.0,0.0,19.999996352882057
2002,Gene,0.04251053339851818,0.0,0.0,0.3191786438453854,0.5,1.4417538028215098,-1.0,20.0
2018,Global,0.0248129682516721,0.0,0.0,0.6780049934828624,0.5,0.0,0.0,19.999999079817627
2018,Gene,0.026746198770869273,0.09032436090628801,0.0,0.3670886575007851,0.5,0.9694275159988655,-1.0,20.0
2068,Global,0.11309836012022967,0.29247954634611983,0.1668731007394033,1.1215691432585708,0.5,0.0,0.0,19.99974245035178
2068,Gene,0.12754320457528567,0.5606816584135321,0.7146630263663222,0.951448397320688,0.5,-0.08527567754689891,-1.0,20.0
2119,Global,0.03628444170066751,0.19620259770652507,0.0,1.0131187465498401,0.5,0.0,0.0,20.001093593729006
2119,Gene,0.03916747975742441,0.38049911810403164,0.0,0.27601624086235954,0.5,0.14874950694732658,-0.5697962349117953,20.0
2121,Global,0.07353891261766594,0.04,1.01,1.0045984327736417,0.5,0.0,0.0,20.0
2121,Gene,0.07353891261766594,0.2,1.01,1.1723960364844208,0.5,0.0,0.0,20.0
2123,Global,0.01716942082992196,0.04,1.01,0.9936205640927759,0.5,0.0,0.0,20.0
2123,Gene,0.017169420829921952,0.2,1.01,0.5069574123889986,0.5,0.0,0.0,20.0
2130,Global,0.011503009413252078,0.04,1.01,1.0082152507518651,0.5,0.0,0.0,20.0
2130,Gene,0.011503009413252071,0.2,1.01,1.3079920581250588,0.5,0.0,0.0,20.0
2133,Global,7.381304320160498e-05,0.1336983527844077,0.8218753539192846,1.0160093996077209,0.5,0.0,0.0,20.000023746843887
2133,Gene,0.028128468943935687,0.24309217118660129,0.0,0.4756987833844847,0.5,0.0977139438649667,-0.5259329871814385,20.0
2155,Global,0.028245148736347345,0.12509558091967274,0.0,1.0073609693397159,0.5,0.0,0.0,20.000100160249584
2155,Gene,0.036402277525914316,0.1384990420693441,0.0,0.43368611437405136,0.5,0.3632592033004259,-1.0,20.0
2180,Global,0.033818653673944626,0.09999646409994878,0.0,0.9935715427357706,0.5,0.0,0.0,20.00019108348299
2180,Gene,0.03807402373455085,0.2518275845858386,0.0,0.3603703501554468,0.5,0.3513240619567289,-0.7677822037365554,20.0
2183,Global,0.02673934769403698,0.04,1.01,1.001000644018176,0.5,0.0,0.0,20.0
2183,Gene,0.026739347694036974,0.2,1.01,1.0375082010101837,0.5,0.0,0.0,20.0
2187,Global,0.04236393807425195,0.04,1.01,1.0057095550856696,0.5,0.0,0.0,20.0
2187,Gene,0.042363938074251956,0.2,1.01,1.214052196720959,0.5,0.0,0.0,20.0
2200,Global,0.06912221480145841,0.04,1.01,1.0022658042246917,0.5,0.0,0.0,20.0
2200,Gene,0.06912221480145841,0.2,1.01,1.0849487920787473,0.5,0.0,0.0,20.0
2219,Global,0.016076034619738805,0.04,1.01,3.0,0.5,0.0,0.0,20.0
2219,Gene,0.016076034619738805,0.2,1.01,3.0,0.5,0.0,0.0,20.0
2220,Global,0.02091891955913695,0.40266508083973956,0.5165325019183457,1.080454962758257,0.5,0.0,0.0,20.000148718994744
2220,Gene,0.02355753602264343,0.5694000163633184,0.49194356681887924,0.22634232947265553,0.5,0.2775427774844009,0.14455866798792844,20.0
2233,Global,0.06549113319531123,0.0,0.0,0.7306485842788584,0.5,0.0,0.0,20.000001324892136
2233,Gene,0.07928553477156607,0.017217849025757438,0.0,0.3287408739790097,0.5,0.7323421132700129,-1.0,20.0
2234,Global,0.03258912477779259,0.07047237041983753,0.0,0.4521863601127364,0.5,0.0,0.0,20.000001651691814
