RID,Model,R squared,alpha,beta,gamma,s,p,b,k
21,Global,0.056542548720356405,0.13677423286411342,0.0,1.0003405368125728,0.5,0.0,0.0,20.00047095066405
21,Gene,0.11271940025650189,0.9859124215360002,0.0,0.5483682950882911,0.5,-1.0,1.2699818413791986,20.0
31,Global,0.028897454360632905,0.07181194612659321,0.0,0.9716705707548173,0.5,0.0,0.0,20.00000586338107
31,Gene,0.09691842478988764,0.692460764468853,0.0,0.6696304871724116,0.5,-1.0,2.274596287028433,20.0
56,Global,0.03582893475320679,0.03199210355079628,0.0,1.0004042156156554,0.5,0.0,0.0,20.000023226752035
56,Gene,0.10337020787358316,0.6684595608468669,0.0,0.744713866754855,0.5,-1.0,1.5969222459393775,20.0
59,Global,0.030592820603463026,0.15961534638833286,0.0,0.9667666746943449,0.5,0.0,0.0,20.000491570104117
59,Gene,0.03304361621465687,1.6568045042257993,0.34915220062617935,0.029263607164551255,0.5,-1.0,4.281340933569672,20.0
69,Global,0.02120074605379417,0.04,1.01,1.0078940798822347,0.5,0.0,0.0,20.0
69,Gene,0.021200746053794194,0.2,1.01,1.2959566817707475,0.5,0.0,0.0,20.0
96,Global,0.07558369579564875,0.34692791212289337,0.28401871723267497,1.1211220663650123,0.5,0.0,0.0,20.00094584550696
96,Gene,0.14193139399076868,1.2918231528167603,0.3095729091781166,0.8796085018631955,0.5,-1.0,5.0,20.0
112,Global,0.02870451462497123,0.14314668196344116,0.0,1.0123185006812851,0.5,0.0,0.0,20.000334447397027
112,Gene,0.04294107650765529,0.6449502272312099,1.6938623122313867,0.5439632596029289,0.5,-0.466847785799619,4.999999999998685,20.0
120,Global,0.050218062383259564,0.10791440871998229,0.0,1.1579260706894976,0.5,0.0,0.0,20.000208533610753
120,Gene,0.06882112408392878,0.7067491499883838,0.0,1.0969542860809587,0.5,-1.0,0.9849760275741903,20.0
127,Global,0.027538257951165025,0.030722929800876042,0.0,0.9390098868539997,0.5,0.0,0.0,20.00001917316306
127,Gene,0.034790443749855016,0.0,3.6808063039754293,1.0052812674855507,0.5,0.03862727639067897,4.9866024991069455,20.0
142,Global,0.02481318403049557,0.060307116987671834,0.0,1.0058606731772823,0.5,0.0,0.0,19.999996051395993
142,Gene,0.03435833629015315,0.6149451913264901,2.9744406666008913,0.7609428049041861,0.5,-0.8227676888867201,5.0,20.0
156,Global,0.026420679031007203,0.2011532444521541,0.0,1.0330387707668882,0.5,0.0,0.0,20.00027091682384
156,Gene,0.02990488928288031,1.620972085631637,0.613770864760504,0.01884349044949623,0.5,-0.9715898899988915,5.0,20.0
210,Global,0.04104672447149214,0.27893819125842273,0.0,1.0256596133663805,0.5,0.0,0.0,20.000489159489277
210,Gene,0.01919790140571426,1.0395207836525624,0.38954006374353894,0.3696429821840743,0.5,-0.5119714567462266,5.0,20.0
303,Global,0.03604998382727037,0.35529934460866014,0.0,1.433939769697677,0.5,0.0,0.0,20.00018455321214
303,Gene,0.04403669976593138,0.7002883283520417,0.0,1.7572137190889734,0.5,-1.0,0.1071006445980542,20.0
337,Global,0.0010758497954542637,0.04,1.01,0.996165561654282,0.5,0.0,0.0,20.0
337,Gene,0.001075849795454261,0.2,1.01,0.5095024210244798,0.5,0.0,0.0,20.0
377,Global,0.029993661491099777,0.10973096892488182,0.0,1.0060717871472975,0.5,0.0,0.0,20.000129938913513
377,Gene,0.08507816526553727,0.8781274234571388,0.0,0.5382472538359883,0.5,-1.0,2.4187740762860392,20.0
413,Global,0.051699311600096165,0.04,1.01,0.9905467895058877,0.5,0.0,0.0,20.0
413,Gene,0.05169931160009613,0.2,1.01,0.5038836378362361,0.5,0.0,0.0,20.0
416,Global,0.03513649768162907,0.17216676602824393,0.0,1.0189586286201031,0.5,0.0,0.0,20.00027890500542
416,Gene,0.10753551992147198,0.7193614387743263,0.0,0.7141605201397051,0.5,-0.8491838108841345,1.9571274644780872,20.0
420,Global,0.004839950383668296,0.2373949095685595,0.9824036129997739,1.040956887537413,0.5,0.0,0.0,20.000050112645045
420,Gene,0.05752476565675262,1.7006513567554071,1.771198455798569,0.03144934841054239,0.5,-1.0,5.0,20.0
467,Global,0.037539615730376744,0.10949022246947523,0.0,1.0143044568984978,0.5,0.0,0.0,20.000111804984382
467,Gene,0.11195740330284489,0.6899619804604297,0.0,0.8086931541225243,0.5,-1.0,1.9541399501497818,20.0
498,Global,0.1496420501400029,0.04,1.01,0.2614639240920361,0.5,0.0,0.0,20.0
498,Gene,0.14964205014000284,0.2,1.01,0.49363716754885173,0.5,0.0,0.0,20.0
618,Global,0.05190772474526721,0.13821212871721905,0.0,1.1502464261321261,0.5,0.0,0.0,20.000298678838654
618,Gene,0.07267083132409527,0.48380567266140617,0.0,1.3134098619880101,0.5,-1.0,0.925115589922482,20.0
626,Global,9.399845842751682e-05,0.16275451240270797,0.9906881191725098,1.0174758962158412,0.5,0.0,0.0,20.000003791195965
626,Gene,0.027340570274476287,0.6763971032492483,0.5934457047746192,0.8851354852281054,0.5,-0.8694372493034053,2.950104407581486,20.0
668,Global,0.007266125065052486,0.4030644831757353,0.36683427302088395,1.3641572902430694,0.5,0.0,0.0,20.000012761412076
668,Gene,0.026521154173008155,0.7928430160180092,0.0,0.9726378850198559,0.5,-1.0,1.326969823102108,20.0
677,Global,0.06915547051405722,0.0,0.0,3.531918966598476e-05,0.5,0.0,0.0,20.000055940506645
677,Gene,0.09415180999605008,0.04533407729744169,5.027053081086936e-05,2.697603446650117e-05,0.5,-0.9930173921948692,0.4375120601690977,20.0
679,Global,0.15982300180122092,0.04,1.01,0.9969284514102896,0.5,0.0,0.0,20.0
679,Gene,0.15982300180122092,0.2,1.01,0.8848465549520592,0.5,0.0,0.0,20.0
680,Global,0.03892699509036934,0.0553766755897112,0.0,1.0056567672701902,0.5,0.0,0.0,20.000043859841906
680,Gene,0.11758775384624015,0.6876980813017725,0.0,0.6622449348021823,0.5,-0.9828024225949598,1.6292034804547468,20.0
684,Global,0.026599482410692123,0.7488097496509969,0.8904636648886609,1.646460152017027,0.5,0.0,0.0,20.00001795325228
684,Gene,0.04857654328546252,2.0,0.6636523929535512,0.18928297445858724,0.5,1.9060207480985651,5.0,20.0
731,Global,0.008415486735365234,0.7108357224860091,0.9497165447161138,1.5161567157565954,0.5,0.0,0.0,19.99995241508689
731,Gene,0.04579922058717494,0.09782578607914809,1.0259999988533792,0.21400809520641736,0.5,5.0,5.0,20.0
734,Global,0.07917333037837884,0.04,1.01,0.9950129780631475,0.5,0.0,0.0,20.0
734,Gene,0.07917333037837884,0.2,1.01,0.5083498429972566,0.5,0.0,0.0,20.0
751,Global,0.07458369494566951,0.1542766052015056,0.0,1.226024451382965,0.5,0.0,0.0,19.99950352241942
751,Gene,0.12097300242648774,0.6997903342256137,0.0,1.2988191903613686,0.5,-1.0,0.36181305060261987,20.0
767,Global,0.029402202981806333,0.12781551460763627,0.0,1.014489191341844,0.5,0.0,0.0,20.000240270587806
767,Gene,0.11774851459764349,0.7315704084670119,0.0,0.7387784038496649,0.5,-1.0,1.5308863477257562,20.0
800,Global,0.04018476667173224,0.013189699543211017,0.0,1.127112681490618,0.5,0.0,0.0,20.000496871193093
800,Gene,0.12141493028095919,0.6763030206950256,0.0,0.6867608779679066,0.5,-1.0,1.797044898162622,20.0
896,Global,0.038730897766950975,0.05675061412740452,0.0,0.9480499532218654,0.5,0.0,0.0,20.00001499870872
896,Gene,0.12111585601647223,0.6135143327005155,0.0,0.613446008054689,0.5,-1.0,1.6170009278029747,20.0
925,Global,4.960434293382402e-05,0.1893442215197578,1.0003720344956388,1.0184546821021296,0.5,0.0,0.0,20.000012753796877
925,Gene,0.021455846299162865,0.7885059097379086,0.4096091741916707,0.6731858234010963,0.5,-1.0,3.566747233811886,20.0
