RID,Model,R squared,alpha,beta,gamma,s,p,b,k
21,Global,0.056542548720356405,0.13677423286411342,0.0,1.0003405368125728,0.5,0.0,0.0,20.00047095066405
21,Gene,0.12947476764357785,1.1711512440250684,0.05980363207629884,0.39246463081745697,0.5,-1.0,5.0,20.0
31,Global,0.028897454360632905,0.07181194612659321,0.0,0.9716705707548173,0.5,0.0,0.0,20.00000586338107
31,Gene,0.13390459688728282,0.12033502203461617,4.797566697572759,0.21293759925508188,0.5,0.7328633982037206,5.0,20.0
56,Global,0.03582893475320679,0.03199210355079628,0.0,1.0004042156156554,0.5,0.0,0.0,20.000023226752035
56,Gene,0.1248017918386572,0.7558067249386153,4.524357352475361,0.6236492613993178,0.5,-1.0,5.0,20.0
59,Global,0.030592820603463026,0.15961534638833286,0.0,0.9667666746943449,0.5,0.0,0.0,20.000491570104117
59,Gene,0.09625976074834315,1.4086921129379895,1.4764769451147912,0.10146842528408476,0.5,-1.0,4.662309618211094,20.0
69,Global,0.02120074605379417,0.04,1.01,1.0078940798822347,0.5,0.0,0.0,20.0
69,Gene,0.021200746053794194,0.2,1.01,1.2959566817707475,0.5,0.0,0.0,20.0
96,Global,0.07558369579564875,0.34692791212289337,0.28401871723267497,1.1211220663650123,0.5,0.0,0.0,20.00094584550696
96,Gene,0.12038337581595024,0.21446035003729952,0.1627923594043769,1.9724218979743287,0.5,-1.0,4.92995539708045,20.0
112,Global,0.02870451462497123,0.14314668196344116,0.0,1.0123185006812851,0.5,0.0,0.0,20.000334447397027
112,Gene,0.11594813040153207,0.15079108312410835,5.0,0.5814621543999801,0.5,0.44706454217473157,5.0,20.0
120,Global,0.050218062383259564,0.10791440871998229,0.0,1.1579260706894976,0.5,0.0,0.0,20.000208533610753
120,Gene,0.06699718029238647,0.4519440509517299,0.011247083737621589,1.333105352594285,0.5,-1.0,1.6932632901111158,20.0
127,Global,0.027538257951165025,0.030722929800876042,0.0,0.9390098868539997,0.5,0.0,0.0,20.00001917316306
127,Gene,0.11983701675055085,0.20700087536151932,3.1954668896169776,0.3937734760918408,0.5,0.12451575838716217,5.0,20.0
142,Global,0.02481318403049557,0.060307116987671834,0.0,1.0058606731772823,0.5,0.0,0.0,19.999996051395993
142,Gene,0.12709887326241862,0.01924907790788933,2.9388773624055355,0.479596209517558,0.5,0.5054693630682439,5.0,20.0
156,Global,0.026420679031007203,0.2011532444521541,0.0,1.0330387707668882,0.5,0.0,0.0,20.00027091682384
156,Gene,0.12193718163144135,0.07954384538379038,4.999999998246165,0.7997916463862023,0.5,0.6149010775695984,4.999999997895397,20.0
210,Global,0.04104672447149214,0.27893819125842273,0.0,1.0256596133663805,0.5,0.0,0.0,20.000489159489277
210,Gene,0.1022498804243301,2.0,4.719888190359505,0.009396359331677097,0.5,0.08931634353755134,5.0,20.0
303,Global,0.03604998382727037,0.35529934460866014,0.0,1.433939769697677,0.5,0.0,0.0,20.00018455321214
303,Gene,0.048038281372759596,0.6224488612425493,0.0,1.7449037409705976,0.5,-1.0,0.15034145491143502,20.0
337,Global,0.0010758497954542637,0.04,1.01,0.996165561654282,0.5,0.0,0.0,20.0
337,Gene,0.001075849795454261,0.2,1.01,0.5095024210244798,0.5,0.0,0.0,20.0
377,Global,0.029993661491099777,0.10973096892488182,0.0,1.0060717871472975,0.5,0.0,0.0,20.000129938913513
377,Gene,0.09619441799237015,0.777201070619187,0.0,0.6002734970557843,0.5,-1.0,1.0008588864938213,20.0
413,Global,0.051699311600096165,0.04,1.01,0.9905467895058877,0.5,0.0,0.0,20.0
413,Gene,0.05169931160009613,0.2,1.01,0.5038836378362361,0.5,0.0,0.0,20.0
416,Global,0.03513649768162907,0.17216676602824393,0.0,1.0189586286201031,0.5,0.0,0.0,20.00027890500542
416,Gene,0.14487797668488833,0.0010654088290778364,3.9132193137871547,0.23993419686178383,0.5,1.185364860049985,5.0,20.0
420,Global,0.004839950383668296,0.2373949095685595,0.9824036129997739,1.040956887537413,0.5,0.0,0.0,20.000050112645045
420,Gene,0.03768355253411083,0.8436250798550646,0.9632515181503899,0.25416934369158134,0.5,-0.3714208532053547,1.7950035317896718,20.0
467,Global,0.037539615730376744,0.10949022246947523,0.0,1.0143044568984978,0.5,0.0,0.0,20.000111804984382
467,Gene,0.059402337762701825,0.7247118765080286,0.7736967504569628,0.8496716832543383,0.5,-0.9290671962461317,2.579778334592124,20.0
498,Global,0.1496420501400029,0.04,1.01,0.2614639240920361,0.5,0.0,0.0,20.0
498,Gene,0.14964205014000284,0.2,1.01,0.49363716754885173,0.5,0.0,0.0,20.0
618,Global,0.05190772474526721,0.13821212871721905,0.0,1.1502464261321261,0.5,0.0,0.0,20.000298678838654
618,Gene,0.06610167209110954,0.5140742716657549,0.0,1.2605347964679614,0.5,-1.0,0.44464760417190924,20.0
626,Global,9.399845842751682e-05,0.16275451240270797,0.9906881191725098,1.0174758962158412,0.5,0.0,0.0,20.000003791195965
626,Gene,0.04405632610887611,0.7115219499847484,0.6893821544926163,0.6759513711871101,0.5,-0.9682647680488247,2.1085112218326816,20.0
668,Global,0.007266125065052486,0.4030644831757353,0.36683427302088395,1.3641572902430694,0.5,0.0,0.0,20.000012761412076
668,Gene,0.02385895367179135,0.4650100189816921,0.0,1.2870549795600918,0.5,-1.0,0.3527027075706645,20.0
677,Global,0.06915547051405722,0.0,0.0,3.531918966598476e-05,0.5,0.0,0.0,20.000055940506645
677,Gene,0.09771136420938753,0.0,0.0,2.1777024835088343e-05,0.5,-0.9997646902973442,0.8033187596627959,20.0
679,Global,0.15982300180122092,0.04,1.01,0.9969284514102896,0.5,0.0,0.0,20.0
679,Gene,0.15982300180122092,0.2,1.01,0.8848465549520592,0.5,0.0,0.0,20.0
680,Global,0.03892699509036934,0.0553766755897112,0.0,1.0056567672701902,0.5,0.0,0.0,20.000043859841906
680,Gene,0.1277003465187175,0.4491667918543959,5.0,0.8441586153279436,0.5,-0.5614710826050769,5.0,20.0
684,Global,0.026599482410692123,0.7488097496509969,0.8904636648886609,1.646460152017027,0.5,0.0,0.0,20.00001795325228
684,Gene,0.03252488259914216,0.5893569841672628,3.1397035169300724,0.49097016955320244,0.5,2.8024043254442166,-1.0,20.0
731,Global,0.008415486735365234,0.7108357224860091,0.9497165447161138,1.5161567157565954,0.5,0.0,0.0,19.99995241508689
