RID,Model,R squared,alpha,beta,gamma,s,p,b,k
21,Global,0.056542548720356405,0.13677423286411342,0.0,1.0003405368125728,0.5,0.0,0.0,20.00047095066405
21,Gene,0.057757463533096534,0.31205702465200497,0.0,0.5236319313869952,0.5,0.24977077409787674,-1.0,20.0
31,Global,0.028897454360632905,0.07181194612659321,0.0,0.9716705707548173,0.5,0.0,0.0,20.00000586338107
31,Gene,0.029673919748571646,0.217422773345391,0.0,0.3438748241842281,0.5,0.11019651540665593,0.9623046684143809,20.0
56,Global,0.03582893475320679,0.03199210355079628,0.0,1.0004042156156554,0.5,0.0,0.0,20.000023226752035
56,Gene,0.037306628655983096,0.13070206970121873,0.0,0.4533978025111776,0.5,0.17360422000482334,-0.4240410663322147,20.0
59,Global,0.030592820603463026,0.15961534638833286,0.0,0.9667666746943449,0.5,0.0,0.0,20.000491570104117
59,Gene,0.03063662893202604,0.36119989793724255,0.0,0.4040826337185092,0.5,0.031228679148986666,-0.13144591835450098,20.0
69,Global,0.02120074605379417,0.04,1.01,1.0078940798822347,0.5,0.0,0.0,20.0
69,Gene,0.021200746053794194,0.2,1.01,1.2959566817707475,0.5,0.0,0.0,20.0
96,Global,0.07558369579564875,0.34692791212289337,0.28401871723267497,1.1211220663650123,0.5,0.0,0.0,20.00094584550696
96,Gene,0.07619775278854764,0.5651578199848766,0.4651853417897334,0.8963342809713999,0.5,0.05010233938290591,-0.4127774466253142,20.0
112,Global,0.02870451462497123,0.14314668196344116,0.0,1.0123185006812851,0.5,0.0,0.0,20.000334447397027
112,Gene,0.007215370323572816,0.0,0.17815766793062912,0.45476359033736596,0.5,0.6362733684275421,2.093003155827864,20.0
120,Global,0.050218062383259564,0.10791440871998229,0.0,1.1579260706894976,0.5,0.0,0.0,20.000208533610753
120,Gene,0.05070761538461019,0.39799204489419315,0.0,0.7571685120647285,0.5,0.2446463160985412,-0.4764649464229049,20.0
127,Global,0.027538257951165025,0.030722929800876042,0.0,0.9390098868539997,0.5,0.0,0.0,20.00001917316306
127,Gene,0.008258906165294004,0.0,0.7373311891332854,0.044221172527466934,0.5,1.2091313370066559,0.7333753696773008,20.0
142,Global,0.02481318403049557,0.060307116987671834,0.0,1.0058606731772823,0.5,0.0,0.0,19.999996051395993
142,Gene,0.007538401774283782,0.0,0.7189593660138894,0.0922506878372757,0.5,0.9046723269477208,0.8446724471857431,20.0
156,Global,0.026420679031007203,0.2011532444521541,0.0,1.0330387707668882,0.5,0.0,0.0,20.00027091682384
156,Gene,0.005624734201784892,0.11447387084256833,0.8671592174044025,0.43139069994596324,0.5,0.6270974149609458,-0.021388525327759412,20.0
210,Global,0.04104672447149214,0.27893819125842273,0.0,1.0256596133663805,0.5,0.0,0.0,20.000489159489277
210,Gene,0.03249738421532461,0.45982014431961943,0.07659513001234118,0.08975531870354123,0.5,1.1632594004783838,3.400611302856281,20.0
303,Global,0.03604998382727037,0.35529934460866014,0.0,1.433939769697677,0.5,0.0,0.0,20.00018455321214
303,Gene,0.07268013045900669,0.3093348882257279,0.0,0.3546025177330038,0.5,2.3725514590055754,-0.8145378986520403,20.0
337,Global,0.0010758497954542637,0.04,1.01,0.996165561654282,0.5,0.0,0.0,20.0
337,Gene,0.001075849795454261,0.2,1.01,0.5095024210244798,0.5,0.0,0.0,20.0
377,Global,0.029993661491099777,0.10973096892488182,0.0,1.0060717871472975,0.5,0.0,0.0,20.000129938913513
377,Gene,0.0299946643574707,0.35428751837130107,0.0,0.4660714161862258,0.5,0.034206827154081645,-0.4392033092783258,20.0
413,Global,0.051699311600096165,0.04,1.01,0.9905467895058877,0.5,0.0,0.0,20.0
413,Gene,0.05169931160009613,0.2,1.01,0.5038836378362361,0.5,0.0,0.0,20.0
416,Global,0.03513649768162907,0.17216676602824393,0.0,1.0189586286201031,0.5,0.0,0.0,20.00027890500542
416,Gene,0.020293438865397632,0.012337491735908066,0.27093122043490836,0.45956397299282903,0.5,0.7077478591274313,1.7944739903520182,20.0
420,Global,0.004839950383668296,0.2373949095685595,0.9824036129997739,1.040956887537413,0.5,0.0,0.0,20.000050112645045
420,Gene,0.011761845173982084,0.06537062947654318,0.6513069123403848,0.19885176923840395,0.5,1.0922271957641043,1.28198618076318,20.0
467,Global,0.037539615730376744,0.10949022246947523,0.0,1.0143044568984978,0.5,0.0,0.0,20.000111804984382
467,Gene,0.03818210843644538,0.3425224478293928,0.0,0.24728017992768495,0.5,0.08763494888406868,-0.033192154409913535,20.0
498,Global,0.1496420501400029,0.04,1.01,0.2614639240920361,0.5,0.0,0.0,20.0
498,Gene,0.14964205014000284,0.2,1.01,0.49363716754885173,0.5,0.0,0.0,20.0
618,Global,0.05190772474526721,0.13821212871721905,0.0,1.1502464261321261,0.5,0.0,0.0,20.000298678838654
618,Gene,0.05311685821285137,0.417253138687902,0.0,0.7251809537774285,0.5,0.3436005199371267,-0.5478869689017657,20.0
626,Global,9.399845842751682e-05,0.16275451240270797,0.9906881191725098,1.0174758962158412,0.5,0.0,0.0,20.000003791195965
626,Gene,0.002757829740350728,0.014663481353156378,0.8650494895080678,0.45997373982489337,0.5,0.4746431190337921,-0.08289106504509029,20.0
668,Global,0.007266125065052486,0.4030644831757353,0.36683427302088395,1.3641572902430694,0.5,0.0,0.0,20.000012761412076
668,Gene,0.016374289984512045,0.2818313494852578,0.0,0.7857288338366172,0.5,0.33440294816670585,-0.3121475664052391,20.0
677,Global,0.06915547051405722,0.0,0.0,3.531918966598476e-05,0.5,0.0,0.0,20.000055940506645
677,Gene,0.06949051994369106,0.00012112112754116034,0.0006321419265275361,0.0003069805703520241,0.5,0.16398930915865878,-0.6143874622185649,20.0
679,Global,0.15982300180122092,0.04,1.01,0.9969284514102896,0.5,0.0,0.0,20.0
679,Gene,0.15982300180122092,0.2,1.01,0.8848465549520592,0.5,0.0,0.0,20.0
680,Global,0.03892699509036934,0.0553766755897112,0.0,1.0056567672701902,0.5,0.0,0.0,20.000043859841906
