RID,Model,R squared,alpha,beta,gamma,s,p,b,k
21,Global,0.056542548720356405,0.13677423286411342,0.0,1.0003405368125728,0.5,0.0,0.0,20.00047095066405
21,Gene,0.06111880589459022,0.18834102869198227,0.0,0.4065372127497163,0.5,0.722556050369546,-0.8403505890674848,20.0
31,Global,0.028897454360632905,0.07181194612659321,0.0,0.9716705707548173,0.5,0.0,0.0,20.00000586338107
31,Gene,0.029854712517857908,0.10664663657636575,0.0,0.5060978509795854,0.5,0.17649339956707147,-0.9542854945927305,20.0
56,Global,0.03582893475320679,0.03199210355079628,0.0,1.0004042156156554,0.5,0.0,0.0,20.000023226752035
56,Gene,0.03597778848841624,0.16550249303094225,0.0,0.4813227866469043,0.5,0.1021407654761854,-0.42203045297098146,20.0
59,Global,0.030592820603463026,0.15961534638833286,0.0,0.9667666746943449,0.5,0.0,0.0,20.000491570104117
59,Gene,0.0338518875921825,0.19981850272499949,0.0,0.3691621850542938,0.5,0.37162169609011786,-1.0,20.0
69,Global,0.02120074605379417,0.04,1.01,1.0078940798822347,0.5,0.0,0.0,20.0
69,Gene,0.021200746053794194,0.2,1.01,1.2959566817707475,0.5,0.0,0.0,20.0
96,Global,0.07558369579564875,0.34692791212289337,0.28401871723267497,1.1211220663650123,0.5,0.0,0.0,20.00094584550696
96,Gene,0.08051877051640634,0.6480612445073788,0.2815923489329586,0.6990146352163699,0.5,0.11107258692210098,-0.8434622123251109,20.0
112,Global,0.02870451462497123,0.14314668196344116,0.0,1.0123185006812851,0.5,0.0,0.0,20.000334447397027
112,Gene,0.011914943661348536,0.5796037628006663,0.2861201934345188,0.6702069166522063,0.5,-0.4874007118063963,-0.8840350508828032,20.0
120,Global,0.050218062383259564,0.10791440871998229,0.0,1.1579260706894976,0.5,0.0,0.0,20.000208533610753
120,Gene,0.050641110928527806,0.47961392663656827,0.30619808342219806,0.7919008241055863,0.5,0.19073980406786895,-1.0,20.0
127,Global,0.027538257951165025,0.030722929800876042,0.0,0.9390098868539997,0.5,0.0,0.0,20.00001917316306
127,Gene,0.010410877285694162,0.537099921740751,0.5585978828223412,0.6021993908617747,0.5,-0.9574303040364267,-1.0,20.0
142,Global,0.02481318403049557,0.060307116987671834,0.0,1.0058606731772823,0.5,0.0,0.0,19.999996051395993
142,Gene,0.009490537315906147,0.6013179692086514,0.6357754174738371,0.5834753919999399,0.5,-0.8387609214065345,-1.0,20.0
156,Global,0.026420679031007203,0.2011532444521541,0.0,1.0330387707668882,0.5,0.0,0.0,20.00027091682384
156,Gene,0.010953652425642337,0.9565330033039142,0.8139263605065179,0.4298808299038841,0.5,-1.0,-1.0,20.0
210,Global,0.04104672447149214,0.27893819125842273,0.0,1.0256596133663805,0.5,0.0,0.0,20.000489159489277
210,Gene,0.04496629263092574,1.0467682106186793,0.0,0.20999895885738648,0.5,-0.45868473321433506,0.028767797022176654,20.0
303,Global,0.03604998382727037,0.35529934460866014,0.0,1.433939769697677,0.5,0.0,0.0,20.00018455321214
303,Gene,0.04906575435909843,0.6738641205782001,0.0,1.736273703823102,0.5,-1.0,-0.26893741842242547,20.0
