RID,Model,R squared,alpha,beta,gamma,s,p,b,k
21,Global,0.056542548720356405,0.13677423286411342,0.0,1.0003405368125728,0.5,0.0,0.0,20.00047095066405
21,Gene,0.12999333215479564,1.035450755018101,0.01811820088558803,0.4596569009865566,0.5,-1.0,1.859247054137998,20.0
31,Global,0.028897454360632905,0.07181194612659321,0.0,0.9716705707548173,0.5,0.0,0.0,20.00000586338107
31,Gene,0.06959775331630126,0.0,0.28048188205823693,0.11474263328831574,0.5,1.1547995390298356,5.0,20.0
56,Global,0.03582893475320679,0.03199210355079628,0.0,1.0004042156156554,0.5,0.0,0.0,20.000023226752035
56,Gene,0.06479849573017665,0.0,0.333039535680744,0.14496943430537648,0.5,1.206061441299242,5.0,20.0
59,Global,0.030592820603463026,0.15961534638833286,0.0,0.9667666746943449,0.5,0.0,0.0,20.000491570104117
59,Gene,0.06909920236502871,0.5990219181910205,0.3288365639003245,0.025355048587259843,0.5,1.1998048237345826,5.0,20.0
69,Global,0.02120074605379417,0.04,1.01,1.0078940798822347,0.5,0.0,0.0,20.0
69,Gene,0.021200746053794194,0.2,1.01,1.2959566817707475,0.5,0.0,0.0,20.0
96,Global,0.07558369579564875,0.34692791212289337,0.28401871723267497,1.1211220663650123,0.5,0.0,0.0,20.00094584550696
96,Gene,0.16742182196933833,1.1044322882604343,0.2841301902810195,0.9737795935539406,0.5,-1.0,5.0,20.0
112,Global,0.02870451462497123,0.14314668196344116,0.0,1.0123185006812851,0.5,0.0,0.0,20.000334447397027
112,Gene,0.062231081636530974,0.0,0.29116128325937435,0.1903665669677084,0.5,1.1679784392653814,5.0,20.0
120,Global,0.050218062383259564,0.10791440871998229,0.0,1.1579260706894976,0.5,0.0,0.0,20.000208533610753
120,Gene,0.06465809750799652,0.5121465108750373,0.0,1.2500346559251865,0.5,-1.0,0.8472961327993132,20.0
127,Global,0.027538257951165025,0.030722929800876042,0.0,0.9390098868539997,0.5,0.0,0.0,20.00001917316306
127,Gene,0.08047763108141776,0.0,2.9389169631086567,0.010921122556799534,0.5,2.0914403766361476,4.801348718214917,20.0
142,Global,0.02481318403049557,0.060307116987671834,0.0,1.0058606731772823,0.5,0.0,0.0,19.999996051395993
142,Gene,0.05538384359473672,0.08158669010206515,0.806547983866193,0.4191342653218808,0.5,0.4831998958080126,4.0807635682998304,20.0
156,Global,0.026420679031007203,0.2011532444521541,0.0,1.0330387707668882,0.5,0.0,0.0,20.00027091682384
156,Gene,0.07729627613350044,0.0,1.6268245053306791,0.041765962591813754,0.5,2.00030796893362,5.0,20.0
210,Global,0.04104672447149214,0.27893819125842273,0.0,1.0256596133663805,0.5,0.0,0.0,20.000489159489277
