RID,Model,R squared,alpha,beta,gamma,s,p,b,k
21,Global,0.056542548720356405,0.13677423286411342,0.0,1.0003405368125728,0.5,0.0,0.0,20.00047095066405
21,Gene,0.0774487379037917,0.0021090915906174543,0.11670867543614907,0.28976930861071515,0.5,1.565086831956124,5.0,20.0
31,Global,0.028897454360632905,0.07181194612659321,0.0,0.9716705707548173,0.5,0.0,0.0,20.00000586338107
31,Gene,0.03656787507299432,0.0,0.31127513016935304,0.031125256183850623,0.5,1.5224575977199677,5.0,20.0
56,Global,0.03582893475320679,0.03199210355079628,0.0,1.0004042156156554,0.5,0.0,0.0,20.000023226752035
56,Gene,0.08436958606085848,0.6432213452534997,0.0,0.7628041061347297,0.5,-1.0,1.2541059366380365,20.0
59,Global,0.030592820603463026,0.15961534638833286,0.0,0.9667666746943449,0.5,0.0,0.0,20.000491570104117
59,Gene,0.06448843862849592,0.7703404097175813,0.0,0.6372362745898057,0.5,-1.0,1.1285564856231858,20.0
69,Global,0.02120074605379417,0.04,1.01,1.0078940798822347,0.5,0.0,0.0,20.0
69,Gene,0.021200746053794194,0.2,1.01,1.2959566817707475,0.5,0.0,0.0,20.0
96,Global,0.07558369579564875,0.34692791212289337,0.28401871723267497,1.1211220663650123,0.5,0.0,0.0,20.00094584550696
96,Gene,0.12179988291344952,0.0006307266320645027,0.653484146572629,0.09269712257861164,0.5,4.864701779869117,0.44348283728049687,20.0
112,Global,0.02870451462497123,0.14314668196344116,0.0,1.0123185006812851,0.5,0.0,0.0,20.000334447397027
112,Gene,0.031087322162118586,0.0,0.3156730471934782,0.053733720303387786,0.5,1.5425649675920645,5.0,20.0
120,Global,0.050218062383259564,0.10791440871998229,0.0,1.1579260706894976,0.5,0.0,0.0,20.000208533610753
120,Gene,0.05098106539407158,0.32373658131537386,0.0,0.7192304256622872,0.5,0.48491013045491405,-0.26890195718419907,20.0
127,Global,0.027538257951165025,0.030722929800876042,0.0,0.9390098868539997,0.5,0.0,0.0,20.00001917316306
127,Gene,0.02910394600378199,0.018856634649078826,0.2996356548492281,0.06017071571899705,0.5,1.1304940394558276,4.6618300290141965,20.0
142,Global,0.02481318403049557,0.060307116987671834,0.0,1.0058606731772823,0.5,0.0,0.0,19.999996051395993
142,Gene,0.0306369609911469,0.0,0.2519897119491605,0.07054574865764168,0.5,1.0183915719109649,4.8427797516710935,20.0
156,Global,0.026420679031007203,0.2011532444521541,0.0,1.0330387707668882,0.5,0.0,0.0,20.00027091682384
156,Gene,0.02776950447861743,0.06407993655558153,0.30205205358148873,0.05550254870689728,0.5,1.5188233137493812,4.9384225021931885,20.0
210,Global,0.04104672447149214,0.27893819125842273,0.0,1.0256596133663805,0.5,0.0,0.0,20.000489159489277
210,Gene,0.05233344115118249,0.6386400735174242,0.0,1.0758037444185327,0.5,-0.7254899269975168,-0.7083735590015715,20.0
303,Global,0.03604998382727037,0.35529934460866014,0.0,1.433939769697677,0.5,0.0,0.0,20.00018455321214
303,Gene,0.0371065541631032,0.4198363838333355,0.0,1.0532004903096952,0.5,0.44411750240054176,-0.6501607037922905,20.0
337,Global,0.0010758497954542637,0.04,1.01,0.996165561654282,0.5,0.0,0.0,20.0
337,Gene,0.001075849795454261,0.2,1.01,0.5095024210244798,0.5,0.0,0.0,20.0
377,Global,0.029993661491099777,0.10973096892488182,0.0,1.0060717871472975,0.5,0.0,0.0,20.000129938913513
377,Gene,0.05454280911800934,0.6170193470939392,0.0,1.058576348805227,0.5,-1.0,0.7133027653563263,20.0
413,Global,0.051699311600096165,0.04,1.01,0.9905467895058877,0.5,0.0,0.0,20.0
413,Gene,0.05169931160009613,0.2,1.01,0.5038836378362361,0.5,0.0,0.0,20.0
416,Global,0.03513649768162907,0.17216676602824393,0.0,1.0189586286201031,0.5,0.0,0.0,20.00027890500542
416,Gene,0.04794891438380202,0.0,0.22223398556087842,0.3315356715948301,0.5,0.8922411402826538,5.0,20.0
420,Global,0.004839950383668296,0.2373949095685595,0.9824036129997739,1.040956887537413,0.5,0.0,0.0,20.000050112645045
420,Gene,0.04872924948437572,0.12955464942749534,0.449918850237883,0.013803184348262032,0.5,2.2921672760127323,5.0,20.0
467,Global,0.037539615730376744,0.10949022246947523,0.0,1.0143044568984978,0.5,0.0,0.0,20.000111804984382
467,Gene,0.031359997698371965,0.0,0.24176936923953551,0.1163514591450425,0.5,1.1104752318012405,5.0,20.0
498,Global,0.1496420501400029,0.04,1.01,0.2614639240920361,0.5,0.0,0.0,20.0
498,Gene,0.14964205014000284,0.2,1.01,0.49363716754885173,0.5,0.0,0.0,20.0
618,Global,0.05190772474526721,0.13821212871721905,0.0,1.1502464261321261,0.5,0.0,0.0,20.000298678838654
618,Gene,0.057602543802593664,0.23650398763271543,0.0,0.42554328589641455,0.5,1.5706791809468827,-0.7243152974406016,20.0
626,Global,9.399845842751682e-05,0.16275451240270797,0.9906881191725098,1.0174758962158412,0.5,0.0,0.0,20.000003791195965
626,Gene,0.02593909512688461,0.0,0.18659642760875572,0.39369975062503726,0.5,0.603681402660422,4.676217765738037,20.0
668,Global,0.007266125065052486,0.4030644831757353,0.36683427302088395,1.3641572902430694,0.5,0.0,0.0,20.000012761412076
668,Gene,0.026882266741489136,0.0,0.0,0.13621369296448185,0.5,3.4571845210824956,-0.8461156245269865,20.0
677,Global,0.06915547051405722,0.0,0.0,3.531918966598476e-05,0.5,0.0,0.0,20.000055940506645
677,Gene,0.08214211903090808,0.05810922836882057,3.6064332738311038e-09,1.7513550310113204e-09,0.5,-0.8540934493806518,0.17791461300177905,20.0
679,Global,0.15982300180122092,0.04,1.01,0.9969284514102896,0.5,0.0,0.0,20.0
679,Gene,0.15982300180122092,0.2,1.01,0.8848465549520592,0.5,0.0,0.0,20.0
680,Global,0.03892699509036934,0.0553766755897112,0.0,1.0056567672701902,0.5,0.0,0.0,20.000043859841906
680,Gene,0.08070052696556443,0.6449841434093677,0.0,0.7118271564506562,0.5,-1.0,0.4935026557453617,20.0
684,Global,0.026599482410692123,0.7488097496509969,0.8904636648886609,1.646460152017027,0.5,0.0,0.0,20.00001795325228
684,Gene,0.025688331752217516,0.8359806440087363,0.9778595228560989,1.322233728031878,0.5,0.3037782745754422,0.25836474998566455,20.0
731,Global,0.008415486735365234,0.7108357224860091,0.9497165447161138,1.5161567157565954,0.5,0.0,0.0,19.99995241508689
731,Gene,0.007463597034997856,0.3986845542830874,1.4418210959243691,1.373988697654437,0.5,1.0921555571607902,1.3232344330224433,20.0
734,Global,0.07917333037837884,0.04,1.01,0.9950129780631475,0.5,0.0,0.0,20.0
734,Gene,0.07917333037837884,0.2,1.01,0.5083498429972566,0.5,0.0,0.0,20.0
751,Global,0.07458369494566951,0.1542766052015056,0.0,1.226024451382965,0.5,0.0,0.0,19.99950352241942
751,Gene,0.08113910559503847,0.7552608673379245,0.0,0.9285530797839865,0.5,-0.8804985177234174,-0.15119173233551267,20.0
767,Global,0.029402202981806333,0.12781551460763627,0.0,1.014489191341844,0.5,0.0,0.0,20.000240270587806
767,Gene,0.0690373097537557,0.6670355895555137,0.0,0.8411397910628299,0.5,-1.0,5.0,20.0
800,Global,0.04018476667173224,0.013189699543211017,0.0,1.127112681490618,0.5,0.0,0.0,20.000496871193093
800,Gene,0.07187201639682515,0.9483060567736119,0.0,0.052059988651925584,0.5,-0.5021261449442488,4.475247142635991,20.0
896,Global,0.038730897766950975,0.05675061412740452,0.0,0.9480499532218654,0.5,0.0,0.0,20.00001499870872
896,Gene,0.09591053478404432,0.3830321028339367,0.0,3.0,0.5,-1.0,5.0,20.0
