RID,Model,R squared,alpha,beta,gamma,s,p,b,k
21,Global,0.056542548720356405,0.13677423286411342,0.0,1.0003405368125728,0.5,0.0,0.0,20.00047095066405
21,Gene,0.07200086051943927,0.8276991769017943,0.0,0.7198270332930187,0.5,-1.0,0.7478589755535631,20.0
31,Global,0.028897454360632905,0.07181194612659321,0.0,0.9716705707548173,0.5,0.0,0.0,20.00000586338107
31,Gene,0.03667530023308846,0.3847500366617181,0.0,0.591668338773925,0.5,-0.3917638141247051,0.3242363362930027,20.0
56,Global,0.03582893475320679,0.03199210355079628,0.0,1.0004042156156554,0.5,0.0,0.0,20.000023226752035
56,Gene,0.043783631194464746,0.42001320743089415,0.0,0.5530001873418582,0.5,-0.4488432028706058,0.17766960361576323,20.0
59,Global,0.030592820603463026,0.15961534638833286,0.0,0.9667666746943449,0.5,0.0,0.0,20.000491570104117
59,Gene,0.0392534563033756,0.5936143495514623,0.0,0.48899423343095744,0.5,-0.4813382733825404,0.3122455720854724,20.0
69,Global,0.02120074605379417,0.04,1.01,1.0078940798822347,0.5,0.0,0.0,20.0
69,Gene,0.021200746053794194,0.2,1.01,1.2959566817707475,0.5,0.0,0.0,20.0
96,Global,0.07558369579564875,0.34692791212289337,0.28401871723267497,1.1211220663650123,0.5,0.0,0.0,20.00094584550696
96,Gene,0.09422068871664445,0.005477265012929269,0.10967541304410518,2.4951815805329667,0.5,-0.7639300751205484,5.0,20.0
112,Global,0.02870451462497123,0.14314668196344116,0.0,1.0123185006812851,0.5,0.0,0.0,20.000334447397027
112,Gene,0.03669323302840393,0.4264130451180568,0.0,0.6651465491822206,0.5,-0.37225000821161575,0.5219558561843071,20.0
120,Global,0.050218062383259564,0.10791440871998229,0.0,1.1579260706894976,0.5,0.0,0.0,20.000208533610753
120,Gene,0.06192379295169912,0.6658081790849054,0.0,1.1733201159169082,0.5,-1.0,0.41307500217126314,20.0
127,Global,0.027538257951165025,0.030722929800876042,0.0,0.9390098868539997,0.5,0.0,0.0,20.00001917316306
127,Gene,0.036102319628896845,0.36647812576807054,0.0,0.5627286115424475,0.5,-0.4209936394807193,1.040266681924397,20.0
142,Global,0.02481318403049557,0.060307116987671834,0.0,1.0058606731772823,0.5,0.0,0.0,19.999996051395993
142,Gene,0.031827460825739,0.341428926164008,0.0,0.5506002002342522,0.5,-0.3338772764467152,0.578464838211802,20.0
156,Global,0.026420679031007203,0.2011532444521541,0.0,1.0330387707668882,0.5,0.0,0.0,20.00027091682384
