RID,Model,R squared,alpha,beta,gamma,s,p,b,k
21,Global,0.056542548720356405,0.13677423286411342,0.0,1.0003405368125728,0.5,0.0,0.0,20.00047095066405
21,Gene,0.092732510783333,0.40256736972640883,0.5603803371771039,0.6321138665393297,0.5,0.12829918225476222,-1.0,20.0
31,Global,0.028897454360632905,0.07181194612659321,0.0,0.9716705707548173,0.5,0.0,0.0,20.00000586338107
31,Gene,0.0830820715409526,0.6692067650461596,1.1987847187219447,0.7159739692172644,0.5,-1.0,-1.0,20.0
56,Global,0.03582893475320679,0.03199210355079628,0.0,1.0004042156156554,0.5,0.0,0.0,20.000023226752035
56,Gene,0.07193169569908144,0.6394144220795387,1.242260599494384,0.7543519517223493,0.5,-1.0,-1.0,20.0
59,Global,0.030592820603463026,0.15961534638833286,0.0,0.9667666746943449,0.5,0.0,0.0,20.000491570104117
59,Gene,0.08146207916039216,0.8423788477358972,1.1304903821483985,0.665052340240536,0.5,-0.966968057024552,-1.0,20.0
69,Global,0.02120074605379417,0.04,1.01,1.0078940798822347,0.5,0.0,0.0,20.0
69,Gene,0.021200746053794194,0.2,1.01,1.2959566817707475,0.5,0.0,0.0,20.0
96,Global,0.07558369579564875,0.34692791212289337,0.28401871723267497,1.1211220663650123,0.5,0.0,0.0,20.00094584550696
96,Gene,0.14998758165570966,0.0,0.10811828951366112,0.1370808485567454,0.5,3.948703326438861,-1.0,20.0
112,Global,0.02870451462497123,0.14314668196344116,0.0,1.0123185006812851,0.5,0.0,0.0,20.000334447397027
112,Gene,0.0866112828234197,0.7728755855754137,1.279214480198779,0.6890759888350328,0.5,-1.0,-1.0,20.0
120,Global,0.050218062383259564,0.10791440871998229,0.0,1.1579260706894976,0.5,0.0,0.0,20.000208533610753
120,Gene,0.05658092781733211,0.34279149943444986,0.5449970681500863,0.9206024700234348,0.5,0.2618312626334911,-1.0,20.0
127,Global,0.027538257951165025,0.030722929800876042,0.0,0.9390098868539997,0.5,0.0,0.0,20.00001917316306
127,Gene,0.08711048125042856,0.6229638662052788,1.242601997051743,0.6727818846669611,0.5,-1.0,-1.0,20.0
